id,hsk_level,label,explanation,source_site
26,2,～着／不是～吗／往,,HSKpractice_exercises
27,2,～过／虽然～但是～,「動詞＋过」は経験（〜したことがある）、「虽然〜但是〜」は逆接を表します。,HSKpractice_exercises
28,2,要～了／都～了,「要〜了」は「もうすぐ〜する」と近い未来を表します。,HSKpractice_exercises
29,3,一点都～／打算～,「打算」は「〜するつもりだ」と予定・計画を表す動詞です。,HSKpractice_exercises
30,3,補語 来去／就（連続動作）,「只要A就B」は「Aさえすれば、Bだ」という必要十分条件を表します。,HSKpractice_exercises
31,3,还是と或者／又～又～／越来越～,「越来越＋形容詞」は「だんだん〜になる」という変化を表します。,HSKpractice_exercises
32,3,可能補語 得／刚才／刚刚,,HSKpractice_exercises
33,3,継続時間の表現／疑問詞+就+疑問詞,動詞の後に期間（两年）を置いて、動作の継続時間を表します。,HSKpractice_exercises
34,3,越A越B／A跟B一样,「越A越B」は「AすればするほどBだ」という比例関係を表します。,HSKpractice_exercises
35,3,比較 A比B多一些／才と就,,HSKpractice_exercises
36,3,把構文,「把＋目的語＋動詞」で、その対象をどう処置するかを強調する構文です。,HSKpractice_exercises
37,3,一边～一边～／除了～以外～,「一边A一边B」は「Aしながら（同時に）Bする」という動作の並行を表します。,HSKpractice_exercises
38,3,如果～的话／原因の得,「如果〜的话，就〜」は「もし〜なら、〜だ」という仮定を表します。,HSKpractice_exercises
39,3,只要～就～／只有～才～,「只要A就B」は「Aさえすれば、Bだ」という必要十分条件を表します。,HSKpractice_exercises
40,3,受身形 被叫给让,,HSKpractice_exercises
41,4,不仅～也～／从来,「不仅A也B」は「AだけでなくBも」という累加の関係を表します。,HSKpractice_exercises
42,4,应该／得(děi),,HSKpractice_exercises
43,4,就是,,HSKpractice_exercises
44,4,只是～而已／即使～也,「只是〜而已」は「ただ〜にすぎない」と程度を控えめに限定します。,HSKpractice_exercises
45,4,在～上,,HSKpractice_exercises
46,4,正好／差不多,,HSKpractice_exercises
47,4,～不了／无法,,HSKpractice_exercises
48,4,尽管／不管,「不管〜都〜」は「〜であろうと、〜だ」と条件に関係なく成立することを表します。,HSKpractice_exercises
49,4,却／而,「只是〜而已」は「ただ〜にすぎない」と程度を控えめに限定します。,HSKpractice_exercises
50,4,另外,「另外」は文頭で「それと／別に」と話題を追加するときに使います。,HSKpractice_exercises
51,4,根据／按照,,HSKpractice_exercises
52,4,连～也都／甚至,,HSKpractice_exercises
53,4,并／估计,,HSKpractice_exercises
54,4,首先～其次／再说,「首先〜其次〜」は物事を順序立てて説明するときの接続表現です。,HSKpractice_exercises
55,4,竟然／果然,「竟然」は「思いがけず〜だ」という客観的な驚きを表す副詞です。「果然」は「思った通り、案の定」と予想が的中したことを表し、驚きの方向が逆です。,HSKpractice_exercises
56,4,要是／值得,「要是」は「如果」と同じく「もし〜なら」という仮定を表す口語的な表現です。,HSKpractice_exercises
57,4,以为／认为,,HSKpractice_exercises
58,4,既～又也还／可不是／往往,,HSKpractice_exercises
59,4,由于／因此／难道,,HSKpractice_exercises
60,4,否则／无论,「无论〜都〜」は「不管」と同様、どんな条件でも結果が変わらないことを表します。,HSKpractice_exercises
61,4,同时／并且,,HSKpractice_exercises
62,4,然而／再～也～,,HSKpractice_exercises
63,4,以,,HSKpractice_exercises
64,4,由／既然,「既然〜（那）就〜」は「〜である以上は、〜だ」とすでに確定した前提に基づく結論を表します。,HSKpractice_exercises
65,4,于是／可,,HSKpractice_exercises
66,4,恐怕／敢,,HSKpractice_exercises
67,4,到底／叫做,,HSKpractice_exercises
68,4,为了／在于,,HSKpractice_exercises
69,4,仍然／究竟,,HSKpractice_exercises
70,4,V着V着／一～就～,「一A就B」は「AするとすぐにBする」という動作の連続を表します。,HSKpractice_exercises
71,4,正在（進行形）,「正在＋動詞」で「〜している最中だ」という進行中の動作を表します。文末に「呢」を伴うこともあります。,HSKsentences
72,5,以……为……,「AをBとする／AをBとみなす」という書き言葉の構文で、基本方針や捉え方を述べる際に用います。,user_hsk5_6_grammar
73,5,好（hǎo）,動詞の後に置き、「〜しやすいように／〜できるように」と後ろの動作の目的や便宜を示す用法です。,user_hsk5_6_grammar
74,5,免得 / 省得,前の行動によって「〜しないように／〜を免れる（省く）ために」と、望ましくない事態を回避する目的を表します。,user_hsk5_6_grammar
75,5,何必,「なにも〜する必要はない」という反語の表現で、相手の過度な言動をなだめたり制止したりする際に使います。,user_hsk5_6_grammar
76,5,未免,「いくらなんでも〜と言わざるを得ない／いささか〜すぎる」と、相手の言動や状況に対して消極的な評価を下す表現です。,user_hsk5_6_grammar
77,5,不亚于,「〜に劣らない／〜に負けない」という意味で、比較対象と同等以上にすぐれていることを表します。,user_hsk5_6_grammar
78,5,不比,「AはBほど〜ではない」という比較の否定を表します（例：今天不比昨天冷＝今日は昨日ほど寒くない）。「不亚于」（劣らない）とは意味が異なるので注意してください。,user_hsk5_6_grammar
79,5,哪怕……也……,「仮に／たとえ〜であっても」という譲歩仮定の文で、どんな極端な条件下でも結論が変わらないことを強調します。,user_hsk5_6_grammar
80,5,固然……，但是……,「確かに〜ではあるが（しかし…）」と、一旦前件を認めた上で、より重要な後件の主張を展開する構文です。,user_hsk5_6_grammar
81,5,唯有……，才……,「唯一〜であってこそ、初めて…できる」と、特定の唯一絶対の条件を強調して述べる表現です。,user_hsk5_6_grammar
82,5,从而,前件の行動や変化を受けて「それによって／その結果」と、論理的・自然に生じる後件の結果・展開をつなぐ書面語です。,user_hsk5_6_grammar
83,5,进而,「さらに進んで／進んで〜する」という意味で、前の段階の行動からさらに一段階進んだ動作・発展を示す接続詞です。,user_hsk5_6_grammar
84,5,凡是……都……,「〜なものはすべて／およそ〜はみな」と、一定の範囲内にある対象全体に例外なく当てはまることを表します。,user_hsk5_6_grammar
85,5,尚且……，何况……,「〜でさえ（そうなの）だから、増して〜はなおさらだ」と、極端な例を出して後件を強調する累進構文です。,user_hsk5_6_grammar
86,5,宁可……，也不……,「たとえ〜してでも（〜する方をえらぶ）、決して〜しない」と、苦しい選択肢を選んででも悪い事態を拒絶する強い決意を表します。,user_hsk5_6_grammar
87,5,-化 / -性,「现代化（近代化する）」「可能性（可能性）」のように、語尾に付いて抽象的な状態や性質を派生させる接尾辞です（-化＝〜化する、-性＝〜性）。,user_hsk5_6_grammar
88,5,幸亏 / 多亏,「幸いにも／おかげで」と悪結果を免れた安堵を表します。「多亏」は直後に人を置けますが、「幸亏」は文を接続します。,user_hsk5_6_grammar
89,5,忽然 vs 突然,どちらも「急に」を意味しますが、「突然」は形容詞として名詞を修飾でき、「忽然」は副詞限定で名詞修飾はできません。,user_hsk5_6_grammar
90,5,居然（竟然との違い）,「思いがけず〜だ」という驚きを表す点は「竟然」と同じですが、「居然」には話し手の不満や「あってはならない」という主観が含まれやすい表現です。,user_hsk5_6_grammar
91,5,一旦……就……,「ひとたび〜すれば（すぐに…となる）」という意味で、ある条件が一度満たされた場合に生じる結果を論理的に提示します。,user_hsk5_6_grammar
92,5,不由得,話し手の意志とは無関係に「思わず〜してしまう／禁じ得ない」と、感情や生理現象が自然に生じる様子を表します。,user_hsk5_6_grammar
93,5,难免,条件や事態の性質上「〜を避けがたい／どうしても〜しがちだ」と、客観的に起こりやすい不都合な結果を表します。,user_hsk5_6_grammar
94,5,归根到底 / 归根结底,「結局のところ／突き詰めれば」という意味で、複雑な事象の最終的な根拠や本質をまとめる談話標識です。,user_hsk5_6_grammar
95,5,综上所述,「以上の内容を総合すると」という意味で、文章や演説の最後に論点をまとめて結論を導く定型句です。,user_hsk5_6_grammar
96,5,换言之 / 换句话说,「言い換えれば／換言すれば」と、前述の内容をより平易に、あるいは明確に再定義する際に用いる接続表現です。,user_hsk5_6_grammar
97,5,视……而定,「〜によって決まる／〜次第である」と、条件や対象の変化に応じて結果が変動することを客観的に示す構文です。,user_hsk5_6_grammar
98,5,至于,「〜に至っては／〜については」と、話題を別の新しい対象や側面に切り替える際に文頭で用いる接続表現です。,user_hsk5_6_grammar
99,5,基于,「〜に基づいて／〜に鑑みて」と、判断や行動の根拠・前提となる客観的な事実やデータを示す書面語です。,user_hsk5_6_grammar
100,5,伴随着,「〜に伴って／〜とともに」と、ある出来事や時代の変化と同時に別の事象が進行・生起することを示します。,user_hsk5_6_grammar
101,5,极其 / 相当,「極めて／相当に」と程度が高いことを表す副詞です。「极其」は非常に強い程度、「相当」はそれよりやや控えめな「かなり」程度を表します。,user_hsk5_6_grammar
102,6,乃,「～こそが～である／～はすなわち～だ」という意味で、強い判断や強調を格調高く示す古典由来の書面語です。,user_hsk5_6_grammar
103,6,矣,文末に置かれ、「～した／～なのだ」と事態の完了や確信、感嘆を古風に示す助詞です。,user_hsk5_6_grammar
104,6,兹,動詞の前に置き、「ここに～する／今ここに」と公文書や公式な公告で現在の行為や通知を提示する表現です。,user_hsk5_6_grammar
105,6,乎,文末に置き、「～だろうか」と疑問や反語、あるいは推測を格調高く表現する文末助詞です。,user_hsk5_6_grammar
106,6,焉,文末に置かれ、断定や状態の維持、または「その中に／そこに」という場所代名詞的機能を持つ古典助詞です。,user_hsk5_6_grammar
107,6,及其,「AおよびそのB」という意味で、主要な対象Aと、それに属する・関連する要素Bを連結する正式な表現です。,user_hsk5_6_grammar
108,6,连同,「AをBと共に」という意味で、主要な物事Aに付随するBを一括して処理・提出することを示します。,user_hsk5_6_grammar
109,6,倘若,「もしも～ならば」と、事実とは異なる仮定や将来の予測を重々しく提示する書面語表現です。,user_hsk5_6_grammar
110,6,倘使,「仮に～とすれば」という意味で、極めて改まった文脈で論理的な前提条件を提示する接続表現です。,user_hsk5_6_grammar
111,6,假使,「たとえ～であっても」と、事実ではない状況を仮定し、結論が揺るがないことを示す書面語です。,user_hsk5_6_grammar
112,6,纵使,「たとえ～としても」と非常に強い譲歩を仮定し、不変の意志や事実を強調する表現です。,user_hsk5_6_grammar
113,6,势必,「勢い（情勢）からして、必然的に～となる」と、事態の推移から論理的不可避性を予測する副詞です。,user_hsk5_6_grammar
114,6,反之,「これとは反対に／逆に言えば」と、前述の状況と正反対のケースを提示して論理を補強します。,user_hsk5_6_grammar
115,6,毋庸置疑,「疑いの余地がない」と、ある事実が明白であり議論の余地がないことを強く断定する成語表現です。,user_hsk5_6_grammar
116,6,更有甚者,「さらには／それどころか」と、前述の極端な状況を上回るさらに極端な例を提示する標識です。,user_hsk5_6_grammar
117,6,继而,「続いて／その後すぐに」と、一つの動作や事象の直後に次の段階へ移行することを示す接続詞です。,user_hsk5_6_grammar
118,6,且不说,「Aはさておき」と、大きな問題は一旦脇に置き特定点に焦点を当てて議論を展開する表現です。,user_hsk5_6_grammar
119,6,岂,「どうして～であろうか（いや、～ない）」と、強い反語のトーンを用い当然の理を強調する副詞です。,user_hsk5_6_grammar
120,6,值此……之际,「～にあたって／～という重要な瞬間に」と、重大な行事や節目を記念する格調高い時間表現です。,user_hsk5_6_grammar
121,6,Adj＋于/过,比較対象の前に「于」や「过」を置き、「～より～だ」と性質や程度の差を学術的に記述する構文です。,user_hsk5_6_grammar
122,6,罢了,文末に置き、「～に過ぎない／～だけだ」と事態を過小評価したり限定的な範囲に止めたりする助詞です。,user_hsk5_6_grammar
123,6,乃至,「さらには～までも」と、前件を基礎としてより極端または広範囲な後件を提示する接続詞です。,user_hsk5_6_grammar
124,6,除非……，才/否则……,「～でない限り／～という唯一の条件があって初めて」と、必須条件を厳格に示す構文です。,user_hsk5_6_grammar
125,6,与其说……，不如说……,「～と言うよりは、むしろ～と言うべきだ」と、ある事態の本質として適切な解釈を強調します。,user_hsk5_6_grammar
126,6,毫无疑问,「疑いの余地なく」と、ある事実が絶対的に確実であることを論理の前提として提示する標識です。,user_hsk5_6_grammar
127,6,众所周知,「周知の通り」と、一般常識や広く認められた事実を引き合いに出して議論を導入する成語表現です。,user_hsk5_6_grammar
128,6,致力于,「～に力を注ぐ」と、特定の活動や事業に全力を尽くしていることを示す高度にフォーマルな表現です。,user_hsk5_6_grammar
129,6,旨在,「～を目的とする」と、計画や政策・組織の根本的な目的を格調高く明示する書面語です。,user_hsk5_6_grammar
130,6,鉴于,「～に鑑みて／～を考慮して」と、判断や決定を下す際の客観的・公的な根拠を提示する接続語です。,user_hsk5_6_grammar
131,6,与此同时,「それと同時に」と、前述の事象と並行して起こっている別の重要な事象を導入する論理マーカーです。,user_hsk5_6_grammar
132,6,从……角度看,「～の視点（角度）から見れば」と、特定の専門的切り口から事象を分析・評価することを明示します。,user_hsk5_6_grammar
133,6,综合来看,「総合的に見ると」と、複数の要因を多角的に検討した結果導き出される最終結論を提示します。,user_hsk5_6_grammar
