id,hsk_level,words_shuffled,correct_sentence,meaning_ja
20,2,"[""有"", ""其他"", ""其中"", ""人""]",其中有其他人。,その中に他の人がいます。
21,2,"[""晚餐"", ""然后"", ""晚会"", ""晚安"", ""吃"", ""后"", ""说""]",晚会后吃晚餐，然后说晚安。,パーティーの後に夕食を食べ、それからおやすみを言います。
22,2,"[""真正"", ""这"", ""朋友"", ""的"", ""是"", ""才""]",这才是真正的朋友。,これこそ本当の友達です。
23,2,"[""全国"", ""全体"", ""支持"", ""人民"", ""都""]",全国全体人民都支持。,全国の全国民が支持しています。
24,2,"[""习惯"", ""早"", ""睡"", ""好"", ""是""]",早睡是好习惯。,早寝はいい習慣です。
25,2,"[""因为"", ""找"", ""住房"", ""也"", ""生病"", ""在"", ""住院"", ""他""]",他因为生病住院，也在找住房。,彼は病気で入院していて、住宅も探しています。
26,2,"[""是"", ""什么"", ""目的"", ""你"", ""的""]",你的目的是什么？,あなたの目的は何ですか。
27,2,"[""大"", ""负责"", ""是"", ""优点"", ""的"", ""最"", ""认真"", ""他""]",他最大的优点是认真负责。,彼の最大の長所は、誠実さと責任感だ。
28,2,"[""洗澡"", ""洗衣机"", ""用"", ""先"", ""再"", ""洗"", ""衣服""]",先用洗衣机洗衣服，再洗澡。,まず洗濯機で服を洗って、それからお風呂に入ります。
29,2,"[""着"", ""带"", ""卡"", ""单位"", ""带来"", ""的""]",带着带来的单位卡。,持ってきた職場のカードを身につけています。
30,2,"[""警察"", ""帮"", ""了"", ""包"", ""失"", ""的"", ""找到"", ""丢"", ""我""]",警察帮我找到了丢失的包。,警察が私の落とし物を見つけるのを手伝ってくれました。
31,3,"[""这"", ""他"", ""强"", ""这"", ""专业"", ""专门"", ""研究"", ""专题"", ""位"", ""个"", ""专家"", ""很"", ""的""]",这位专家专门研究这个专题，他的专业很强。,この専門家は専らこのテーマを研究しており、彼の専門性はとても高い。
32,3,"[""变"", ""成立"", ""成就"", ""了"", ""后"", ""得"", ""公司"", ""不少"", ""成熟"", ""更"", ""也"", ""取得""]",公司成立后取得了不少成就，也变得更成熟。,会社は設立後多くの実績を上げ、より成熟した。
33,3,"[""明显"", ""进步"", ""很"", ""他"", ""明确"", ""表示""]",他明确表示，进步很明显。,彼ははっきりと表明し、進歩は明らかだ。
34,3,"[""金牌"", ""他"", ""了"", ""拿到""]",他拿到了金牌。,彼は金メダルを取った。
35,3,"[""这"", ""份"", ""保险"", ""决定"", ""保留"", ""他""]",他决定保留这份保险。,彼はこの保険を保留することにした。
36,3,"[""不久"", ""回来"", ""就"", ""不好意思""]",不好意思，不久就回来。,すみません、まもなく戻ります。
37,3,"[""累"", ""死"", ""他"", ""差点儿"", ""了""]",他差点儿累死了。,彼はもう少しで疲れ死ぬところだった。
38,3,"[""快"", ""就"", ""了"", ""他"", ""完成"", ""很"", ""任务""]",他很快就完成了任务。,彼は仕事を素早く終えました。
39,3,"[""结实"", ""了"", ""身体"", ""下班"", ""接待"", ""员"", ""接近"", ""很"", ""时间"", ""的""]",接待员的身体很结实，接近下班时间了。,受付係の体はとても丈夫で、退勤時間が近づいた。
40,3,"[""下来"", ""录"", ""了"", ""把"", ""他"", ""这"", ""话"", ""段"", ""录音""]",他把这段话录音录了下来。,彼はこの話を録音した。
41,3,"[""重大"", ""的"", ""周围"", ""这"", ""关心"", ""都"", ""个"", ""人"", ""是"", ""的"", ""决定"", ""很"", ""一""]",这是一个重大的决定，周围的人都很关心。,これは重大な決定であり、周囲の人はみな関心を持っている。
42,3,"[""和"", ""复杂"", ""的"", ""情感"", ""情况"", ""很"", ""都"", ""他""]",他的情感和情况都很复杂。,彼の感情と状況はどちらも複雑だ。
43,3,"[""了"", ""新闻"", ""报道"", ""条"", ""这"", ""记者""]",记者报道了这条新闻。,記者はこのニュースを報道した。
44,3,"[""了"", ""十"", ""秒"", ""只"", ""用"", ""就"", ""他"", ""完了"", ""跑""]",他只用了十秒就跑完了。,彼はたった10秒で全行程を走り切りました。
45,3,"[""这"", ""代表"", ""位"", ""发言"", ""代表团"", ""大夫""]",这位大夫代表代表团发言。,この医師は代表団を代表して発言した。
46,4,"[""的"", ""次"", ""旅行"", ""费用"", ""不"", ""这"", ""高""]",这次旅行的费用不高。,今回の旅行は高くなかった。
47,4,"[""伤心"", ""听到"", ""个"", ""消息"", ""她"", ""这"", ""很""]",听到这个消息，她很伤心。,彼女はその知らせを聞いてとても悲しんでいました。
48,4,"[""桌子"", ""底下"", ""猫"", ""有"", ""只"", ""一""]",桌子底下有一只猫。,テーブルの下に猫がいる。
49,4,"[""学习"", ""网上"", ""资"", ""大量"", ""源"", ""有"", ""的""]",网上有大量的学习资源。,オンラインにはたくさんの学習リソースがあります。
50,4,"[""餐"", ""去"", ""外"", ""郊"", ""我们"", ""假日"", ""野""]",假日我们去郊外野餐。,今年の休暇は田舎へピクニックに行く予定だ。
51,4,"[""V"", ""你"", ""会员"", ""我们"", ""是"", ""的""]",你是我们的V会员。,あなたは私たちのVメンバーです。
52,4,"[""观众"", ""们"", ""鼓掌"", ""热烈""]",观众们热烈鼓掌。,聴衆は熱烈な拍手を送った。
53,4,"[""要"", ""下雨"", ""即使"", ""也"", ""我们"", ""出发""]",即使下雨，我们也要出发。,雨が降っても出発します。
54,4,"[""要"", ""低温"", ""保"", ""天气"", ""冬天"", ""暖"", ""注意""]",冬天低温天气要注意保暖。,寒い冬は暖かくして過ごしてください。
55,4,"[""明天"", ""见面"", ""约"", ""好"", ""我们""]",我们约好明天见面。,私たちは明日会う約束をしました。
56,4,"[""了"", ""纸"", ""打印机"", ""没有""]",打印机没有纸了。,プリンターの用紙が切れています。
57,4,"[""对"", ""失望"", ""他"", ""很"", ""感到"", ""结果"", ""考试""]",他对考试结果感到很失望。,彼は試験結果に落胆した。
58,4,"[""我"", ""就是"", ""岁"", ""九""]",我就是九岁。,私はまさに9歳です。
59,4,"[""导演"", ""到达"", ""了"", ""没有"", ""到底""]",导演到底到达了没有？,監督は結局到着したのか？
60,4,"[""树"", ""条"", ""街道"", ""满"", ""种"", ""这"", ""两"", ""旁"", ""了""]",这条街道两旁种满了树。,この通りは両側に木が並んでいます。
