id,hsk_level,hanzi,pinyin,meaning_ja,explanation_ja,grammar_point_id,grammar_label_raw,source_site,source_id
44,1,儿子在饭店吃饭。,Érzi zài fàndiàn chīfàn.,息子はレストランでご飯を食べています。,「在＋場所」は動作の行われる場所を示します。,,想／多少／个,HSKsentences,44
45,1,放假了，放学早。,"Fàngjià le, fàngxué zǎo.",休みになった、放課後も早い。,「放假」「放学」は学校関連の動詞句です。,,曜日・日付,HSKsentences,45
46,1,房子里有一个房间。,Fángzi lǐ yǒu yí gè fángjiān.,家の中に部屋が一つあります。,「房子」は家、「房间」は部屋を表す名詞です。,,是／也／都,HSKsentences,46
47,1,飞机非常快。,Fēijī fēicháng kuài.,飛行機はとても速いです。,「非常＋形容詞」で強い程度を表します。,,想／多少／个,HSKsentences,47
48,1,我飞去北京，用两分钟。,"Wǒ fēi qù Běijīng, yòng liǎng fēnzhōng.",私は飛んで北京へ行き、2分かかります。,「分钟」は時間の長さを表す量詞です。,,想／多少／个,HSKsentences,48
49,1,外面风很大。,Wàimiàn fēng hěn dà.,外は風がとても強いです。,「风」は「風」という名詞です。,,曜日・日付,HSKsentences,49
50,1,你干什么？衣服很干净。,Nǐ gàn shénme? Yīfu hěn gānjìng.,何をしているの？服がとてもきれいです。,「干什么」は「何をする」という疑問表現です。,,和／能／请,HSKsentences,50
51,1,这栋楼很高。,Zhè dòng lóu hěn gāo.,このビルはとても高いです。,「高」は「高い」という形容詞です。,,是／也／都,HSKsentences,51
52,1,请告诉我，我很高兴。,"Qǐng gàosu wǒ, wǒ hěn gāoxìng.",教えてください、私はとても嬉しいです。,「告诉」は「伝える・教える」という動詞です。,8,和／能／请,HSKsentences,52
53,1,给我一个歌本。,Gěi wǒ yí gè gēběn.,歌の本を一冊ください。,「给」は「与える」という授受動詞です。,,想／多少／个,HSKsentences,53
54,1,哥哥也是工人。,Gēge yě shì gōngrén.,兄も労働者です。,「也」は「〜も」を表す副詞です。,2,是／也／都,HSKsentences,54
55,1,我跟哥哥去工作。,Wǒ gēn gēge qù gōngzuò.,私は兄と一緒に仕事に行きます。,「跟」は「〜と一緒に」を表す前置詞です。,,和／能／请,HSKsentences,55
56,1,请关上门。,Qǐng guānshàng mén.,ドアを閉めてください。,「关上」は「閉める」という結果補語付き動詞です。,8,想／多少／个,HSKsentences,56
57,1,这个国家很贵。,Zhège guójiā hěn guì.,この国は物価が高いです。,「贵」は「高価な」という形容詞です。,,是／也／都,HSKsentences,57
58,3,他从国外过来。,Tā cóng guówài guòlái.,彼は海外から来ました。,「国外」は「海外」を表す名詞です。,30,曜日・日付,HSKsentences,58
59,1,别人不是我孩子。,Biérén bú shì wǒ háizi.,他人は私の子供ではありません。,「别人」は「他人」という意味の代名詞です。,,是／也／都,HSKsentences,59
60,1,我有二个孩子。,Wǒ yǒu èr gè háizi.,私には子供が二人います。,「二」は数詞で、量詞「个」と共に使われます。,,想／多少／个,HSKsentences,60
61,3,他还是学生，还没工作。,"Tā háishi xuésheng, hái méi gōngzuò.",彼はまだ学生で、まだ働いていません。,「还是」は「やはり・依然として」、「还」は「まだ」を表します。,31,是／也／都,HSKsentences,61
62,1,这里还有汉字。,Zhèlǐ hái yǒu hànzì.,ここにまだ漢字があります。,「还有」は「まだ〜がある」という意味です。,,是／也／都,HSKsentences,62
63,1,孩子在学汉语。,Háizi zài xué Hànyǔ.,子供は中国語を勉強しています。,「汉语」は「中国語」を表す名詞です。,,和／能／请,HSKsentences,63
64,1,这是几号？,Zhè shì jǐ hào?,これは何日ですか。,「几号」は日付を尋ねる疑問表現です。,,想／多少／个,HSKsentences,64
65,1,这个电影好看，那个好听。,"Zhège diànyǐng hǎokàn, nàge hǎotīng.",この映画は面白くて、あれは聞き心地がいいです。,「好看」「好听」は「好＋動詞」型の形容詞です。,,想／多少／个,HSKsentences,65
66,1,这里好玩儿，也好吃。,"Zhèlǐ hǎowánr, yě hǎochī.",ここは楽しくて、美味しくもあります。,「好玩儿」「好吃」も同じ「好＋動詞」型の形容詞です。,2,想／多少／个,HSKsentences,66
67,1,后天是后边那天。,Hòutiān shì hòubiān nà tiān.,明後日は後ろのあの日です。,「后天」は「明後日」という時間名詞です。,,曜日・日付,HSKsentences,67
68,1,这朵花不坏。,Zhè duǒ huā bú huài.,この花は悪くないです。,「坏」は「悪い」という形容詞です。,,和／能／请,HSKsentences,68
69,3,他回家，回来吃饭。,"Tā huí jiā, huílái chīfàn.",彼は家に帰って、戻ってきてご飯を食べます。,「回」「回来」は「帰る・戻ってくる」を表す動詞です。,30,叫,HSKsentences,69
70,3,我回去，回答问题。,"Wǒ huíqù, huídá wèntí.",私は帰って、質問に答えます。,「回去」「回答」もそれぞれ動詞です。,30,叫,HSKsentences,70
71,1,回到家，坐火车来。,"Huídào jiā, zuò huǒchē lái.",家に戻り、電車に乗って来ました。,「回到」は「〜に戻る」という結果補語付き動詞です。,,曜日・日付,HSKsentences,71
72,1,我记住了他的名字。,Wǒ jìzhù le tā de míngzi.,私は彼の名前を覚えました。,「记住」は「覚える」という結果補語付き動詞です。,,想／多少／个,HSKsentences,72
73,1,你有几张机票？,Nǐ yǒu jǐ zhāng jīpiào?,航空券は何枚ありますか。,「几」は数を尋ねる疑問詞です。,,想／多少／个,HSKsentences,73
74,1,家里有家人。,Jiālǐ yǒu jiārén.,家に家族がいます。,「家里」は「家の中」という場所名詞です。,,是／也／都,HSKsentences,74
75,1,我们明天见面。,Wǒmen míngtiān jiànmiàn.,私たちは明日会います。,「见面」は「会う」という動詞です。,,和／能／请,HSKsentences,75
76,1,老师教我们汉字。,Lǎoshī jiāo wǒmen hànzì.,先生は私たちに漢字を教えます。,「教」は「教える」という動詞です。,,和／能／请,HSKsentences,76
77,1,教学楼在机场旁边。,Jiàoxuélóu zài jīchǎng pángbiān.,校舎は空港のそばにあります。,「教学楼」は「校舎」という名詞です。,,是／也／都,HSKsentences,77
78,1,早饭有鸡蛋。,Zǎofàn yǒu jīdàn.,朝ごはんに卵があります。,「鸡蛋」は「卵」を表す名詞です。,,想／多少／个,HSKsentences,78
79,1,我还记得姐姐。,Wǒ hái jìde jiějie.,私はまだ姉のことを覚えています。,「记得」は「覚えている」という動詞です。,,想／多少／个,HSKsentences,79
80,1,请介绍一下自己。,Qǐng jièshào yíxià zìjǐ.,自己紹介してください。,「介绍」は「紹介する」という動詞です。,8,和／能／请,HSKsentences,80
81,1,进来，别进去了。,"Jìnlái, bié jìnqù le.",入ってきて、もう入って行かないで。,「进来」「进去」は方向補語をつけた動詞です。,30,曜日・日付,HSKsentences,81
82,1,今年，今天都很忙。,"Jīnnián, jīntiān dōu hěn máng.",今年も今日もとても忙しいです。,「今年」「今天」は時間名詞です。,,曜日・日付,HSKsentences,82
83,4,我就是九岁。,Wǒ jiùshì jiǔ suì.,私はまさに9歳です。,「就」は「まさに・ちょうど」を強調する副詞です。,43,曜日・日付,HSKsentences,83
84,2,我觉得课文很难。,Wǒ juéde kèwén hěn nán.,私は本文が難しいと思います。,「觉得」は「〜と思う」という意見を表す動詞です。,14,想／多少／个,HSKsentences,84
85,1,开车去开会。,Kāichē qù kāihuì.,車を運転して会議に行きます。,「开车」「开会」は「开＋名詞」の動詞句です。,,和／能／请,HSKsentences,85
86,2,别开玩笑了。,Bié kāiwánxiào le.,冗談を言わないでください。,「开玩笑」は「冗談を言う」という動詞句です。,23,是／也／都,HSKsentences,86
87,1,他生病了，去看病。,"Tā shēngbìng le, qù kànbìng.",彼は病気になって、病院に行きます。,「看病」は「診察を受ける」という動詞句です。,,和／能／请,HSKsentences,87
88,2,我看到、看见了老师。,"Wǒ kàndào, kànjiàn le lǎoshī.",私は先生を見かけました。,「看到」「看见」はどちらも「見える・見かける」という結果補語付き動詞です。,22,想／多少／个,HSKsentences,88
89,1,明天考试，先考课本。,"Míngtiān kǎoshì, xiān kǎo kèběn.",明日試験なので、まず教科書を勉強します。,「考试」は「試験」という名詞・動詞です。,,想／多少／个,HSKsentences,89
90,1,我渴了，想喝水。,"Wǒ kě le, xiǎng hē shuǐ.",喉が渇いた、水が飲みたいです。,「渴」は「喉が渇く」という形容詞です。,6,是／也／都,HSKsentences,90
91,1,口渴了，进门口。,"Kǒu kě le, jìn ménkǒu.",喉が渇いた、入り口に入ります。,「口」「门口」はどちらも「口・入り口」に関する名詞です。,,想／多少／个,HSKsentences,91
92,1,老人来到火车站。,Lǎorén láidào huǒchēzhàn.,老人が駅に来ました。,「来到」は「〜に来る」という結果補語付き動詞です。,,是／也／都,HSKsentences,92
93,1,我累了，也冷了。,"Wǒ lèi le, yě lěng le.",疲れたし、寒くもなりました。,「累」「冷」はどちらも形容詞です。,2,是／也／都,HSKsentences,93
94,1,楼上楼下都零度。,Lóushàng lóuxià dōu líng dù.,上階も下階もどちらも0度です。,「零」は数字の「0」を表します。,,是／也／都,HSKsentences,94
95,1,路口有六路车。,Lùkǒu yǒu liù lù chē.,交差点に6番のバスがあります。,「六」は数詞、「路」はバス路線を数える量詞です。,,是／也／都,HSKsentences,95
96,1,路上，马路上有车。,"Lùshàng, mǎlùshàng yǒu chē.",道の上、道路の上に車があります。,「路上」「马路」はどちらも「道」に関する名詞です。,,曜日・日付,HSKsentences,96
97,1,吗？马上就到。,Ma? Mǎshàng jiù dào.,ですか？すぐに着きます。,「吗」は疑問文を作る助詞、「马上」は「すぐに」を表します。,,想／多少／个,HSKsentences,97
98,1,车开得很慢。,Chē kāi de hěn màn.,車の運転がとても遅いです。,「慢」は「遅い」という形容詞です。,,想／多少／个,HSKsentences,98
99,1,一毛钱不多。,Yì máo qián bù duō.,1角のお金は多くありません。,「毛」はお金の単位（角）です。,,是／也／都,HSKsentences,99
100,1,妹妹没有面包。,Mèimei méiyǒu miànbāo.,妹はパンを持っていません。,「没有」は「持っていない・ない」を表します。,,是／也／都,HSKsentences,100
101,1,没什么，没事儿。,"Méi shénme, méi shìr.",何でもない、大丈夫です。,どちらも「大丈夫・問題ない」という定型表現です。,,是／也／都,HSKsentences,101
102,1,没关系，没有问题。,"Méiguānxi, méiyǒu wèntí.",大丈夫です、問題ありません。,「没关系」は「大丈夫」という定型表現です。,,是／也／都,HSKsentences,102
103,1,门票在门口。,Ménpiào zài ménkǒu.,入場券は入り口にあります。,「门票」は「入場券」という名詞です。,,是／也／都,HSKsentences,103
104,1,我想吃面条儿和米饭。,Wǒ xiǎng chī miàntiáor hé mǐfàn.,麺とご飯が食べたいです。,「面条儿」「米饭」はどちらも食べ物の名詞です。,6,想／多少／个,HSKsentences,104
105,1,明年、明天都明白。,"Míngnián, míngtiān dōu míngbai.",来年も明日もどちらもわかります。,「明白」は「わかる」という動詞です。,,曜日・日付,HSKsentences,105
106,1,你的名字是什么？,Nǐ de míngzi shì shénme?,あなたの名前は何ですか。,「名字」は「名前」を表す名詞です。,,叫,HSKsentences,106
107,1,哪个是你的？那边那里。,Nǎge shì nǐ de? Nàbiān nàlǐ.,どれがあなたのですか？あちら、あそこです。,「哪」「那」は疑問・指示を表す代名詞です。,,想／多少／个,HSKsentences,107
108,1,哪里、哪些都可以。,"Nǎlǐ, nǎxiē dōu kěyǐ.",どこも、どれもいいです。,「哪里」「哪些」はどちらも疑問代名詞です。,12,想／多少／个,HSKsentences,108
109,1,那些是奶奶的奶。,Nàxiē shì nǎinai de nǎi.,あれらはおばあちゃんのミルクです。,「那些」は「あれら」という指示代名詞です。,13,想／多少／个,HSKsentences,109
110,1,南边有个男孩儿。,Nánbiān yǒu gè nánháir.,南側に男の子が一人います。,「南边」は「南側」を表す名詞です。,,是／也／都,HSKsentences,110
111,1,这道题很难，男生难做。,"Zhè dào tí hěn nán, nánshēng nán zuò.",この問題は難しく、男子生徒もやりにくいです。,「难」は「難しい」という形容詞です。,,是／也／都,HSKsentences,111
112,1,男朋友是男人。,Nánpéngyou shì nánrén.,彼氏は男性です。,「男朋友」「男人」は男性に関する名詞です。,,想／多少／个,HSKsentences,112
113,1,那儿、哪儿都行。,"Nàr, nǎr dōu xíng.",そこもどこもいいです。,「那儿」「哪儿」はどちらも場所を表す代名詞です。,,想／多少／个,HSKsentences,113
114,1,你呢？你能来吗？,Nǐ ne? Nǐ néng lái ma?,あなたは？来られますか。,「呢」は疑問を軽く強調する語気助詞です。,,在／有／呢,HSKsentences,114
115,1,你们和您都好。,Nǐmen hé nín dōu hǎo.,あなたたちとあなた、どちらもお元気です。,「您」は「你」の丁寧な言い方です。,,是／也／都,HSKsentences,115
116,1,女儿喝牛奶。,Nǚ’ér hē niúnǎi.,娘は牛乳を飲みます。,「牛奶」は「牛乳」という名詞です。,,想／多少／个,HSKsentences,116
117,1,女孩儿是女生，不是女人。,"Nǚháir shì nǚshēng, bú shì nǚrén.",女の子は女子生徒で、大人の女性ではありません。,「女孩儿」「女生」「女人」はいずれも女性を表す名詞です。,,是／也／都,HSKsentences,117
118,1,女朋友在旁边。,Nǚpéngyou zài pángbiān.,彼女はそばにいます。,「旁边」は「そば・隣」という場所名詞です。,,想／多少／个,HSKsentences,118
119,1,朋友喜欢跑步。,Péngyou xǐhuan pǎobù.,友達は走るのが好きです。,「跑」は「走る」という動詞です。,11,是／也／都,HSKsentences,119
120,1,漂亮的票在这儿。,Piàoliang de piào zài zhèr.,きれいなチケットがここにあります。,「漂亮」は「きれいな」という形容詞です。,7,想／多少／个,HSKsentences,120
121,1,我七点起床。,Wǒ qī diǎn qǐchuáng.,私は7時に起きます。,「起床」は「起きる」という動詞です。,,想／多少／个,HSKsentences,121
122,1,汽车在前边。,Qìchē zài qiánbiān.,車は前方にあります。,「前边」は「前方」を表す名詞です。,,是／也／都,HSKsentences,122
123,1,前天我丢了钱包。,Qiántiān wǒ diū le qiánbāo.,一昨日、財布をなくしました。,「前天」は「一昨日」という時間名詞です。,,想／多少／个,HSKsentences,123
124,3,起来吧，前面有车。,"Qǐlái ba, qiánmiàn yǒu chē.",起きて、前方に車がありますよ。,「起来」は「起きる・立ち上がる」という動詞です。,30,想／多少／个,HSKsentences,124
125,1,请进，请问，请坐。,"Qǐng jìn, qǐngwèn, qǐng zuò.",どうぞお入りください、お尋ねします、おかけください。,「请＋動詞」で丁寧な依頼・招待を表します。,8,和／能／请,HSKsentences,125
126,1,我请假，去年也请假。,"Wǒ qǐngjià, qùnián yě qǐngjià.",私は休暇を取ります、去年も休みを取りました。,「请假」は「休暇を取る」という動詞句です。,8,和／能／请,HSKsentences,126
127,1,今天很热，我认识她。,"Jīntiān hěn rè, wǒ rènshi tā.",今日はとても暑いです、私は彼女を知っています。,「认识」は「知り合う・知っている」という動詞です。,,想／多少／个,HSKsentences,127
128,2,认真学习肉的日期。,Rènzhēn xuéxí ròu de rìqī.,真剣に肉の日付を勉強します。,「认真」は「真剣に」という副詞的形容詞です。,16,想／多少／个,HSKsentences,128
129,1,三座山都很高。,Sān zuò shān dōu hěn gāo.,3つの山はどれもとても高いです。,「三」は数詞、「山」は名詞です。,,是／也／都,HSKsentences,129
130,1,上边、上车都可以。,"Shàngbiān, shàngchē dōu kěyǐ.",上のほうも、乗車もどちらもいいです。,「上边」「上车」はどちらも「上」に関する語句です。,12,是／也／都,HSKsentences,130
131,1,商场上次上课去了。,Shāngchǎng shàngcì shàngkè qù le.,ショッピングモールへ前回授業に行きました。,「商场」は「ショッピングモール」という名詞です。,,想／多少／个,HSKsentences,131
132,1,上学、上班都要早起。,"Shàngxué, shàngbān dōu yào zǎoqǐ.",登校も出勤も早起きが必要です。,「上学」「上班」はどちらも「行く」を伴う動詞句です。,,想／多少／个,HSKsentences,132
133,1,里边有商店。,Lǐbiān yǒu shāngdiàn.,中にお店があります。,「里边」は「中」を表す方位名詞です。,,是／也／都,HSKsentences,133
134,1,我上网，上午在家。,"Wǒ shàngwǎng, shàngwǔ zài jiā.",私はネットをして、午前中は家にいます。,「上网」は「ネットをする」という動詞句です。,,想／多少／个,HSKsentences,134
135,1,谁身上没有手机？,Shéi shēnshang méiyǒu shǒujī?,誰の身に携帯電話がないですか。,「谁」は「誰」を尋ねる疑問詞です。,,想／多少／个,HSKsentences,135
136,1,他生气了，身体不好。,"Tā shēngqì le, shēntǐ bù hǎo.",彼は怒って、体調も良くないです。,「生气」は「怒る」という動詞です。,,是／也／都,HSKsentences,136
137,2,十点是不是上课时候？,Shí diǎn shì bu shì shàngkè shíhou?,10時は授業の時間ですか。,「是不是」は確認を求める疑問文の形です。,15,想／多少／个,HSKsentences,137
138,1,时间到了，手机响了。,"Shíjiān dào le, shǒujī xiǎng le.",時間になり、携帯が鳴りました。,「时间」は「時間」という名詞です。,,想／多少／个,HSKsentences,138
139,1,树下有书包和书。,Shù xià yǒu shūbāo hé shū.,木の下にかばんと本があります。,「树」は「木」という名詞です。,,是／也／都,HSKsentences,139
140,1,书店有水果吗？,Shūdiàn yǒu shuǐguǒ ma?,書店に果物はありますか。,「书店」は「書店」という名詞です。,,想／多少／个,HSKsentences,140
141,1,我睡了，快睡觉。,"Wǒ shuì le, kuài shuìjiào.",私は眠り、早く寝ます。,「睡觉」は「眠る」という動詞句です。,,想／多少／个,HSKsentences,141
142,1,她说，说话很快。,"Tā shuō, shuōhuà hěn kuài.",彼女は話す、話すのがとても速いです。,「说」「说话」はどちらも「話す」という動詞です。,,想／多少／个,HSKsentences,142
143,1,四点送她回家。,Sì diǎn sòng tā huí jiā.,4時に彼女を家まで送ります。,「送」は「送る」という動詞です。,,是／也／都,HSKsentences,143
144,1,她们太累了。,Tāmen tài lèi le.,彼女たちはとても疲れています。,「太＋形容詞＋了」で「〜すぎる」を表します。,10,是／也／都,HSKsentences,144
145,1,天气好，听到了鸟叫。,"Tiānqì hǎo, tīngdào le niǎo jiào.",天気が良く、鳥の声が聞こえました。,「听到」は「聞こえる」という結果補語付き動詞です。,,想／多少／个,HSKsentences,145
146,1,我听见了，也听写了。,"Wǒ tīngjiàn le, yě tīngxiě le.",私は聞こえました、書き取りもしました。,「听见」「听写」はどちらも「听」を使う語です。,2,想／多少／个,HSKsentences,146
147,1,同学在图书馆看书。,Tóngxué zài túshūguǎn kàn shū.,クラスメートは図書館で本を読んでいます。,「图书馆」は「図書館」という名詞です。,,是／也／都,HSKsentences,147
148,1,外边有外国人说外语。,Wàibiān yǒu wàiguó rén shuō wàiyǔ.,外に外国人が外国語を話しています。,「外国」「外语」は「外」に関する名詞です。,,是／也／都,HSKsentences,148
149,1,晚上吃晚饭。,Wǎnshang chī wǎnfàn.,夜に夕食を食べます。,「晚上」「晚饭」はどちらも夜に関する名詞です。,,曜日・日付,HSKsentences,149
150,1,我忘了，忘记网友的名字。,"Wǒ wàng le, wàngjì wǎngyǒu de míngzi.",忘れました、ネット友達の名前を忘れました。,「忘」「忘记」はどちらも「忘れる」という動詞です。,,想／多少／个,HSKsentences,150
151,1,网上有五个午饭。,Wǎngshàng yǒu wǔ gè wǔfàn.,ネット上に5つの昼食があります。,「网上」は「ネット上」という名詞です。,,想／多少／个,HSKsentences,151
152,1,洗手，去西边。,"Xǐ shǒu, qù xībiān.",手を洗って、西側へ行きます。,「洗」は「洗う」という動詞です。,,想／多少／个,HSKsentences,152
153,1,下班后，下车下课。,"Xiàbān hòu, xiàchē xiàkè.",退勤後、下車して授業も終わります。,「下班」「下车」「下课」はいずれも「下」を使う動詞句です。,12,曜日・日付,HSKsentences,153
154,1,下边，下次再来。,"Xiàbiān, xiàcì zài lái.",下のほう、次回また来ます。,「下边」「下次」は場所・順序を表す名詞です。,,想／多少／个,HSKsentences,154
155,1,先生现在在下午上课。,Xiānsheng xiànzài zài xiàwǔ shàngkè.,先生は今、午後に授業をしています。,「先生」「现在」はいずれも基本名詞です。,,叫,HSKsentences,155
156,1,小孩儿很小。,Xiǎoháir hěn xiǎo.,子供はとても小さいです。,「小」は「小さい」という形容詞です。,,是／也／都,HSKsentences,156
157,1,小朋友是小学生。,Xiǎopéngyou shì xiǎoxuéshēng.,子供は小学生です。,「小朋友」「小学生」は子供に関する名詞です。,,是／也／都,HSKsentences,157
158,1,小学在小姐家附近。,Xiǎoxué zài xiǎojiě jiā fùjìn.,小学校はお嬢さんの家の近くにあります。,「小学」「小姐」もそれぞれ名詞です。,,是／也／都,HSKsentences,158
159,1,半个小时，下午下雨了。,"Bàn gè xiǎoshí, xiàwǔ xiàyǔ le.",30分後、午後に雨が降りました。,「小时」は「時間」の単位、「下雨」は「雨が降る」です。,,想／多少／个,HSKsentences,159
