id,hanzi,pinyin,meaning_ja,hsk_level,source_site
113,干净,gānjìng,きれいだ,1,HSKpractice_exercises
114,高,gāo,高い,1,HSKpractice_exercises
115,告诉,gàosù,伝える、教える,1,HSKpractice_exercises
116,高兴,gāoxìng,うれしい,1,HSKpractice_exercises
117,个,gè,〜個（量詞）,1,HSKpractice_exercises
118,歌,gē,歌,1,HSKpractice_exercises
119,哥哥,gēgē,お兄さん,1,HSKpractice_exercises
120,给,gěi,あげる・〜に,1,HSKpractice_exercises
121,跟,gēn,〜と,1,HSKpractice_exercises
122,工人,gōngrén,労働者,1,HSKpractice_exercises
123,工作,gōngzuò,仕事、働く,1,HSKpractice_exercises
124,关,guān,閉める,1,HSKpractice_exercises
125,关上,guānshàng,閉める,1,HSKpractice_exercises
126,贵,guì,（値段が）高い,1,HSKpractice_exercises
127,国,guó,国,1,HSKpractice_exercises
128,过,guò,過ごす・経る,1,HSKpractice_exercises
129,国外,guówài,海外,1,HSKpractice_exercises
130,国家,guójiā,国家,1,HSKpractice_exercises
131,还,hái,まだ,1,HSKpractice_exercises
132,还有,háiyǒu,まだ〜がある、それから,1,HSKpractice_exercises
133,还是,háishi,それとも,1,HSKpractice_exercises
134,孩子,háizi,子供,1,HSKpractice_exercises
135,汉字,hànzì,漢字,1,HSKpractice_exercises
136,汉语,hànyǔ,中国語,1,HSKpractice_exercises
137,号,hào,〜日,1,HSKpractice_exercises
138,好,hǎo,良い、元気だ,1,HSKpractice_exercises
139,好看,hǎokàn,綺麗だ、見栄えがいい,1,HSKpractice_exercises
140,好听,hǎotīng,(音が)良い、聞き心地が良い,1,HSKpractice_exercises
141,好玩儿,hǎowánér,面白い、楽しい,1,HSKpractice_exercises
142,好吃,hǎochī,おいしい,1,HSKpractice_exercises
143,和,hé,〜と,1,HSKpractice_exercises
144,喝,hē,飲む,1,HSKpractice_exercises
145,很,hěn,とても,1,HSKpractice_exercises
146,后,hòu,〜の後,1,HSKpractice_exercises
147,后边,hòubian,後ろ側,1,HSKpractice_exercises
148,后天,hòutiān,明後日,1,HSKpractice_exercises
149,话,huà,話,1,HSKpractice_exercises
150,花,huā,花,1,HSKpractice_exercises
151,坏,huài,壊れる,1,HSKpractice_exercises
152,回,huí,戻る,1,HSKpractice_exercises
153,会,huì,できる,1,HSKpractice_exercises
154,回到,huídào,〜に戻る,1,HSKpractice_exercises
155,回家,huíjiā,家に帰る,1,HSKpractice_exercises
156,回来,huílái,戻ってくる,1,HSKpractice_exercises
157,回去,huíqù,戻る、帰る,1,HSKpractice_exercises
158,回答,huídá,答える,1,HSKpractice_exercises
159,火车,huǒchē,汽車,1,HSKpractice_exercises
160,记,jì,覚える,1,HSKpractice_exercises
161,几,jǐ,いくつ,1,HSKpractice_exercises
162,机票,jīpiào,航空券,1,HSKpractice_exercises
163,记住,jìzhù,覚えておく,1,HSKpractice_exercises
164,家,jiā,家,1,HSKpractice_exercises
165,家里,jiālǐ,家、家の中,1,HSKpractice_exercises
166,家人,jiārén,家族,1,HSKpractice_exercises
167,见,jiàn,会う,1,HSKpractice_exercises
168,间,jiān,〜間(量詞)・部屋,1,HSKpractice_exercises
169,见面,jiànmiàn,会う,1,HSKpractice_exercises
170,叫,jiào,〜と呼ぶ,1,HSKpractice_exercises
171,教,jiào,教える,1,HSKpractice_exercises
172,教学楼,jiàoxuélóu,教室棟,1,HSKpractice_exercises
173,机场,jīchǎng,空港,1,HSKpractice_exercises
174,鸡蛋,jīdàn,卵,1,HSKpractice_exercises
175,记得,jìde,覚えている,1,HSKpractice_exercises
176,姐姐,jiějiě,お姉さん,1,HSKpractice_exercises
177,介绍,jièshào,紹介する,1,HSKpractice_exercises
178,进,jìn,入る,1,HSKpractice_exercises
179,进来,jìnlái,入ってくる,1,HSKpractice_exercises
180,今年,jīnnián,今年,1,HSKpractice_exercises
181,进去,jìnqù,入っていく,1,HSKpractice_exercises
182,今天,jīntiān,今日,1,HSKpractice_exercises
183,就,jiù,すぐに・まさに,1,HSKpractice_exercises
184,九,jiǔ,9,1,HSKpractice_exercises
185,觉得,juéde,〜と思う,1,HSKpractice_exercises
186,开,kāi,開ける,1,HSKpractice_exercises
187,开车,kāichē,車を運転する,1,HSKpractice_exercises
188,开会,kāihuì,会議をする,1,HSKpractice_exercises
189,开玩笑,kāi wánxiào,冗談を言う,1,HSKpractice_exercises
190,看,kàn,見る,1,HSKpractice_exercises
191,看病,kànbìng,診察を受ける,1,HSKpractice_exercises
192,看到,kàndào,見える,1,HSKpractice_exercises
193,看见,kànjiàn,見える,1,HSKpractice_exercises
194,考,kǎo,試験を受ける,1,HSKpractice_exercises
195,考试,kǎoshì,試験,1,HSKpractice_exercises
196,课,kè,授業,1,HSKpractice_exercises
197,渴,kě,喉が渇いた,1,HSKpractice_exercises
198,课本,kèběn,教科書,1,HSKpractice_exercises
199,课文,kèwén,教科書の本文,1,HSKpractice_exercises
200,口,kǒu,口・〜人(量詞),1,HSKpractice_exercises
201,块,kuài,〜元(通貨)・塊,1,HSKpractice_exercises
202,快,kuài,速い、はやく,1,HSKpractice_exercises
203,来,lái,来る,1,HSKpractice_exercises
204,来到,láidào,やってくる,1,HSKpractice_exercises
205,老,lǎo,年をとった,1,HSKpractice_exercises
206,老人,lǎorén,老人,1,HSKpractice_exercises
207,老师,lǎoshī,先生,1,HSKpractice_exercises
208,了,le,〜した(完了),1,HSKpractice_exercises
209,累,lèi,疲れる,1,HSKpractice_exercises
210,冷,lěng,寒い,1,HSKpractice_exercises
211,里,lǐ,〜の中,1,HSKpractice_exercises
212,里边,lǐbian,中側,1,HSKpractice_exercises
213,两,liǎng,2つの,1,HSKpractice_exercises
214,零,líng,0,1,HSKpractice_exercises
215,六,liù,6,1,HSKpractice_exercises
216,楼,lóu,階・建物,1,HSKpractice_exercises
217,楼上,lóushàng,上の階,1,HSKpractice_exercises
218,楼下,lóuxià,下の階,1,HSKpractice_exercises
219,路,lù,道,1,HSKpractice_exercises
220,路口,lùkǒu,交差点,1,HSKpractice_exercises
221,路上,lùshàng,道中,1,HSKpractice_exercises
222,吗,ma,〜か(疑問),1,HSKpractice_exercises
223,马路,mǎlù,道路,1,HSKpractice_exercises
224,妈妈,māmā,お母さん,1,HSKpractice_exercises
225,买,mǎi,買う,1,HSKpractice_exercises
226,慢,màn,遅い,1,HSKpractice_exercises
227,忙,máng,忙しい,1,HSKpractice_exercises
228,毛,máo,毛・角(通貨),1,HSKpractice_exercises
229,马上,mǎshàng,すぐに,1,HSKpractice_exercises
230,没,méi,ない,1,HSKpractice_exercises
231,妹妹,mèimèi,妹,1,HSKpractice_exercises
232,没什么,méi shénme,何でもない,1,HSKpractice_exercises
233,没事儿,méishìr,大丈夫,1,HSKpractice_exercises
234,没有,méiyǒu,ない,1,HSKpractice_exercises
235,没关系,méiguānxì,大丈夫、構いません,1,HSKpractice_exercises
236,门,mén,ドア,1,HSKpractice_exercises
237,们,men,〜たち,1,HSKpractice_exercises
238,门口,ménkǒu,入り口,1,HSKpractice_exercises
239,门票,ménpiào,入場券,1,HSKpractice_exercises
240,面条儿,miàntiáor,麺,1,HSKpractice_exercises
241,面包,miànbāo,パン,1,HSKpractice_exercises
242,米饭,mǐfàn,ご飯,1,HSKpractice_exercises
243,明年,míngnián,来年,1,HSKpractice_exercises
244,明白,míngbái,分かる,1,HSKpractice_exercises
245,明天,míngtiān,明日,1,HSKpractice_exercises
246,名字,míngzì,名前,1,HSKpractice_exercises
247,拿,ná,持つ,1,HSKpractice_exercises
248,那,nà,あれ、それ／それなら,1,HSKpractice_exercises
249,哪,nǎ,どれ,1,HSKpractice_exercises
250,那边,nàbiān,そちら,1,HSKpractice_exercises
251,那里,nàlǐ,そこ、あそこ,1,HSKpractice_exercises
252,哪里,nǎlǐ,どこ,1,HSKpractice_exercises
253,那些,nàxiē,それら,1,HSKpractice_exercises
254,哪些,nǎxiē,どれら,1,HSKpractice_exercises
255,奶,nǎi,乳,1,HSKpractice_exercises
256,奶奶,nǎinai,祖母,1,HSKpractice_exercises
257,男,nán,男,1,HSKpractice_exercises
258,南,nán,南,1,HSKpractice_exercises
259,难,nán,難しい,1,HSKpractice_exercises
260,南边,nánbian,南側,1,HSKpractice_exercises
261,男孩儿,nánháir,男の子,1,HSKpractice_exercises
262,男朋友,nánpéngyou,彼氏,1,HSKpractice_exercises
263,男人,nánrén,男性,1,HSKpractice_exercises
264,男生,nánshēng,男子学生,1,HSKpractice_exercises
265,那儿,nàér,そこ、あそこ,1,HSKpractice_exercises
266,哪儿,nǎér,どこ,1,HSKpractice_exercises
267,呢,ne,〜は?(疑問),1,HSKpractice_exercises
268,能,néng,できる,1,HSKpractice_exercises
269,你,nǐ,あなた,1,HSKpractice_exercises
270,你们,nǐmen,あなたたち,1,HSKpractice_exercises
271,年,nián,年,1,HSKpractice_exercises
272,您,nín,あなた（敬称）,1,HSKpractice_exercises
273,牛奶,niúnǎi,牛乳,1,HSKpractice_exercises
274,女,nǚ,女,1,HSKpractice_exercises
275,女孩儿,nǚháir,女の子,1,HSKpractice_exercises
276,女朋友,nǚpéngyou,彼女,1,HSKpractice_exercises
277,女人,nǚrén,女性,1,HSKpractice_exercises
278,女生,nǚshēng,女子学生,1,HSKpractice_exercises
279,女儿,nǚ'ér,娘,1,HSKpractice_exercises
280,旁边,pángbiān,隣,1,HSKpractice_exercises
281,跑,pǎo,走る、駆けつける,1,HSKpractice_exercises
282,朋友,péngyǒu,友達,1,HSKpractice_exercises
283,票,piào,チケット,1,HSKpractice_exercises
284,漂亮,piàoliang,きれい,1,HSKpractice_exercises
285,起,qǐ,起きる,1,HSKpractice_exercises
286,七,qī,7,1,HSKpractice_exercises
287,汽车,qìchē,自動車,1,HSKpractice_exercises
288,前,qián,前,1,HSKpractice_exercises
289,钱,qián,お金,1,HSKpractice_exercises
290,钱包,qiánbāo,財布,1,HSKpractice_exercises
291,前边,qiánbiān,前、前方,1,HSKpractice_exercises
292,前天,qiántiān,おととい,1,HSKpractice_exercises
293,起床,qǐchuáng,起床する,1,HSKpractice_exercises
294,起来,qǐlái,〜し始める、起き上がる（方向補語）,1,HSKpractice_exercises
295,请,qǐng,どうぞ〜してください,1,HSKpractice_exercises
296,请进,qǐng jìn,どうぞお入りください,1,HSKpractice_exercises
297,请问,qǐngwèn,お尋ねします,1,HSKpractice_exercises
298,请坐,qǐng zuò,どうぞお座りください,1,HSKpractice_exercises
299,请假,qǐngjià,休暇を取る,1,HSKpractice_exercises
300,球,qiú,ボール,1,HSKpractice_exercises
301,去,qù,行く,1,HSKpractice_exercises
302,去年,qùnián,去年,1,HSKpractice_exercises
303,热,rè,暑い,1,HSKpractice_exercises
304,人,rén,人,1,HSKpractice_exercises
305,认识,rènshí,知り合う、知っている,1,HSKpractice_exercises
306,认真,rènzhēn,真面目に,1,HSKpractice_exercises
307,日,rì,日,1,HSKpractice_exercises
308,日期,rìqī,日付,1,HSKpractice_exercises
309,肉,ròu,肉,1,HSKpractice_exercises
310,三,sān,3,1,HSKpractice_exercises
311,山,shān,山,1,HSKpractice_exercises
312,上,shàng,上、〜において,1,HSKpractice_exercises
313,上边,shàngbiān,上のほう,1,HSKpractice_exercises
314,商场,shāngchǎng,デパート、ショッピングモール,1,HSKpractice_exercises
315,上车,shàngchē,乗車する,1,HSKpractice_exercises
316,上次,shàngcì,前回,1,HSKpractice_exercises
317,上课,shàngkè,授業が始まる、授業をする,1,HSKpractice_exercises
318,上学,shàngxué,登校する,1,HSKpractice_exercises
319,上班,shàngbān,出勤する,1,HSKpractice_exercises
320,商店,shāngdiàn,店,1,HSKpractice_exercises
321,上网,shàngwǎng,ネットをする,1,HSKpractice_exercises
322,上午,shàngwǔ,午前,1,HSKpractice_exercises
323,少,shǎo,少ない,1,HSKpractice_exercises
324,谁,shuí,誰,1,HSKpractice_exercises
325,身上,shēnshang,身体・身に,1,HSKpractice_exercises
326,生病,shēngbìng,病気になる,1,HSKpractice_exercises
327,生气,shēngqì,怒る,1,HSKpractice_exercises
328,生日,shēngrì,誕生日,1,HSKpractice_exercises
329,什么,shénme,何,1,HSKpractice_exercises
330,身体,shēntǐ,体、身体,1,HSKpractice_exercises
331,十,shí,10,1,HSKpractice_exercises
332,事,shì,こと、用事,1,HSKpractice_exercises
333,试,shì,試す,1,HSKpractice_exercises
334,是,shì,〜である,1,HSKpractice_exercises
335,是不是,shì bu shì,〜かどうか,1,HSKpractice_exercises
336,时候,shíhòu,時、頃,1,HSKpractice_exercises
337,时间,shíjiān,時間,1,HSKpractice_exercises
338,手,shǒu,手,1,HSKpractice_exercises
339,手机,shǒujī,携帯電話,1,HSKpractice_exercises
340,树,shù,木,1,HSKpractice_exercises
341,书,shū,本,1,HSKpractice_exercises
342,书包,shūbāo,かばん,1,HSKpractice_exercises
343,书店,shūdiàn,本屋,1,HSKpractice_exercises
344,睡,shuì,眠る,1,HSKpractice_exercises
345,水,shuǐ,水,1,HSKpractice_exercises
346,水果,shuǐguǒ,果物,1,HSKpractice_exercises
347,睡觉,shuìjiào,寝る,1,HSKpractice_exercises
348,说,shuō,話す、言う,1,HSKpractice_exercises
349,说话,shuōhuà,話す,1,HSKpractice_exercises
350,四,sì,4,1,HSKpractice_exercises
351,送,sòng,贈る,1,HSKpractice_exercises
352,岁,suì,〜歳,1,HSKpractice_exercises
353,他,tā,彼,1,HSKpractice_exercises
354,她,tā,彼女,1,HSKpractice_exercises
355,他们,tāmen,彼ら,1,HSKpractice_exercises
356,她们,tāmen,彼女たち,1,HSKpractice_exercises
357,太,tài,あまりに,1,HSKpractice_exercises
358,天,tiān,日・空,1,HSKpractice_exercises
359,天气,tiānqì,天気,1,HSKpractice_exercises
360,听,tīng,聞く,1,HSKpractice_exercises
361,听到,tīngdào,聞こえる,1,HSKpractice_exercises
362,听见,tīngjiàn,聞こえる,1,HSKpractice_exercises
363,听写,tīngxiě,書き取り,1,HSKpractice_exercises
364,同学,tóngxué,クラスメート,1,HSKpractice_exercises
365,图书馆,túshūguǎn,図書館,1,HSKpractice_exercises
366,外,wài,外,1,HSKpractice_exercises
367,外边,wàibian,外側,1,HSKpractice_exercises
368,外国,wàiguó,外国,1,HSKpractice_exercises
369,外语,wàiyǔ,外国語,1,HSKpractice_exercises
370,晚,wǎn,泊、夜,1,HSKpractice_exercises
371,晚饭,wǎnfàn,夕食,1,HSKpractice_exercises
372,忘,wàng,忘れる,1,HSKpractice_exercises
373,网上,wǎngshàng,ネット上,1,HSKpractice_exercises
374,网友,wǎngyǒu,ネット友達,1,HSKpractice_exercises
375,忘记,wàngjì,忘れる,1,HSKpractice_exercises
376,玩儿,wánér,遊ぶ,1,HSKpractice_exercises
377,晚上,wǎnshàng,夜,1,HSKpractice_exercises
378,问,wèn,尋ねる、聞く,1,HSKpractice_exercises
379,我,wǒ,私,1,HSKpractice_exercises
380,我们,wǒmen,私たち,1,HSKpractice_exercises
381,五,wǔ,5,1,HSKpractice_exercises
382,午饭,wǔfàn,昼食,1,HSKpractice_exercises
383,洗,xǐ,洗う,1,HSKpractice_exercises
384,西,xī,西,1,HSKpractice_exercises
385,西边,xībian,西側,1,HSKpractice_exercises
386,下,xià,下、次,1,HSKpractice_exercises
387,下班,xiàbān,退勤する,1,HSKpractice_exercises
388,下边,xiàbian,下側,1,HSKpractice_exercises
389,下车,xiàchē,降車する,1,HSKpractice_exercises
390,下次,xiàcì,次回,1,HSKpractice_exercises
391,下课,xiàkè,授業が終わる,1,HSKpractice_exercises
392,先,xiān,まず,1,HSKpractice_exercises
393,想,xiǎng,思う・〜したい,1,HSKpractice_exercises
394,先生,xiānsheng,〜さん(男性)・先生,1,HSKpractice_exercises
395,现在,xiànzài,今、現在,1,HSKpractice_exercises
396,笑,xiào,笑う,1,HSKpractice_exercises
397,小,xiǎo,小さい,1,HSKpractice_exercises
398,小孩儿,xiǎoháir,子供,1,HSKpractice_exercises
399,小朋友,xiǎopéngyou,子供,1,HSKpractice_exercises
400,小学,xiǎoxué,小学校,1,HSKpractice_exercises
401,小学生,xiǎoxuéshēng,小学生,1,HSKpractice_exercises
402,小姐,xiǎojiě,〜さん(女性),1,HSKpractice_exercises
403,小时,xiǎoshí,〜時間,1,HSKpractice_exercises
404,下午,xiàwǔ,午後,1,HSKpractice_exercises
405,下雨,xiàyǔ,雨が降る,1,HSKpractice_exercises
406,写,xiě,書く,1,HSKpractice_exercises
407,谢谢,xièxiè,ありがとう,1,HSKpractice_exercises
408,喜欢,xǐhuān,好きだ、気に入る,1,HSKpractice_exercises
409,新,xīn,新しい,1,HSKpractice_exercises
410,新年,xīnnián,新年,1,HSKpractice_exercises
411,行,xíng,良い・歩く,1,HSKpractice_exercises
412,星期日,xīngqīrì,日曜日,1,HSKpractice_exercises
413,星期天,xīngqītiān,日曜日,1,HSKpractice_exercises
414,星期,xīngqī,曜日、週,1,HSKpractice_exercises
415,洗手间,xǐshǒujiān,トイレ,1,HSKpractice_exercises
416,休息,xiūxī,休む、休憩する,1,HSKpractice_exercises
417,学,xué,習う、学ぶ,1,HSKpractice_exercises
418,学院,xuéyuàn,学院,1,HSKpractice_exercises
419,学生,xuéshēng,学生,1,HSKpractice_exercises
420,学习,xuéxí,勉強する,1,HSKpractice_exercises
421,学校,xuéxiào,学校,1,HSKpractice_exercises
422,要,yào,欲しい・必要,1,HSKpractice_exercises
423,页,yè,ページ,1,HSKpractice_exercises
424,也,yě,〜も,1,HSKpractice_exercises
425,爷爷,yéye,祖父,1,HSKpractice_exercises
426,一,yī,1,1,HSKpractice_exercises
427,一半,yíbàn,半分,1,HSKpractice_exercises
428,一块儿,yíkuàir,一緒に,1,HSKpractice_exercises
429,一下儿,yíxiàr,ちょっと、少しの間（動詞の後に付けて軽い調子にする用法）,1,HSKpractice_exercises
430,一些,yìxiē,いくつか,1,HSKpractice_exercises
431,一边,yìbiān,片方・〜しながら,1,HSKpractice_exercises
432,一点儿,yìdiǎnér,少し,1,HSKpractice_exercises
433,衣服,yīfú,服,1,HSKpractice_exercises
434,一会儿,yīhuìer,しばらく、少しの間,1,HSKpractice_exercises
435,一起,yìqǐ,一緒に,1,HSKpractice_exercises
436,医生,yīshēng,医者,1,HSKpractice_exercises
437,一样,yīyàng,同じ,1,HSKpractice_exercises
438,医院,yīyuàn,病院,1,HSKpractice_exercises
439,用,yòng,使う,1,HSKpractice_exercises
440,右,yòu,右,1,HSKpractice_exercises
441,有,yǒu,ある・いる,1,HSKpractice_exercises
442,有些,yǒuxiē,いくつかの,1,HSKpractice_exercises
443,有的,yǒude,あるものは,1,HSKpractice_exercises
444,有时候,yǒu shíhou,時々,1,HSKpractice_exercises
445,有用,yǒuyòng,役に立つ,1,HSKpractice_exercises
446,右边,yòubian,右側,1,HSKpractice_exercises
447,有名,yǒumíng,有名だ,1,HSKpractice_exercises
448,雨,yǔ,雨,1,HSKpractice_exercises
449,元,yuán,元（通貨単位）,1,HSKpractice_exercises
450,远,yuǎn,遠い,1,HSKpractice_exercises
451,月,yuè,月,1,HSKpractice_exercises
452,再,zài,また,1,HSKpractice_exercises
453,在,zài,〜にいる・〜で,1,HSKpractice_exercises
454,在家,zàijiā,家にいる,1,HSKpractice_exercises
455,再见,zàijiàn,さようなら,1,HSKpractice_exercises
456,早,zǎo,早い,1,HSKpractice_exercises
457,早饭,zǎofàn,朝ごはん,1,HSKpractice_exercises
458,早上,zǎoshàng,朝,1,HSKpractice_exercises
459,怎么,zěnme,どうやって,1,HSKpractice_exercises
460,站,zhàn,駅・立つ,1,HSKpractice_exercises
461,找,zhǎo,探す、訪ねる,1,HSKpractice_exercises
462,找到,zhǎodào,見つける,1,HSKpractice_exercises
463,着,zhe,〜している(継続),1,HSKpractice_exercises
464,这,zhè,これ,1,HSKpractice_exercises
465,这边,zhèbiān,こちら,1,HSKpractice_exercises
466,这里,zhèlǐ,ここ,1,HSKpractice_exercises
467,这些,zhèxiē,これらの,1,HSKpractice_exercises
468,真,zhēn,本当に,1,HSKpractice_exercises
469,真的,zhēnde,本当に,1,HSKpractice_exercises
470,正,zhèng,ちょうど,1,HSKpractice_exercises
471,正在,zhèngzài,ちょうど〜している,1,HSKpractice_exercises
472,这儿,zhèér,ここ,1,HSKpractice_exercises
473,知道,zhīdào,知っている、わかる,1,HSKpractice_exercises
474,知识,zhīshí,知識,1,HSKpractice_exercises
475,重,zhòng,重い,1,HSKpractice_exercises
476,中,zhōng,〜の中で,1,HSKpractice_exercises
477,中学,zhōngxué,中学校,1,HSKpractice_exercises
478,中学生,zhōngxuéshēng,中学生,1,HSKpractice_exercises
479,中国,zhōngguó,中国,1,HSKpractice_exercises
480,中间,zhōngjiān,真ん中,1,HSKpractice_exercises
481,中文,zhōngwén,中国語,1,HSKpractice_exercises
482,中午,zhōngwǔ,昼、正午,1,HSKpractice_exercises
483,重要,zhòngyào,重要だ,1,HSKpractice_exercises
484,住,zhù,泊まる、住む,1,HSKpractice_exercises
485,准备,zhǔnbèi,準備する,1,HSKpractice_exercises
486,桌子,zhuōzi,机,1,HSKpractice_exercises
487,字,zì,文字,1,HSKpractice_exercises
488,子,zi,(接尾辞),1,HSKpractice_exercises
489,走,zǒu,歩く、行く、離れる,1,HSKpractice_exercises
490,走路,zǒulù,歩く,1,HSKpractice_exercises
491,最,zuì,最も,1,HSKpractice_exercises
492,最好,zuìhǎo,最も良い,1,HSKpractice_exercises
493,最后,zuìhòu,最後に,1,HSKpractice_exercises
494,坐,zuò,乗る、座る,1,HSKpractice_exercises
495,做,zuò,する、作る,1,HSKpractice_exercises
496,左,zuǒ,左,1,HSKpractice_exercises
