word,pinyin,meaning_ja
大理,dàlǐ,大理（地名）
丽江,lìjiāng,麗江（地名）
够,gòu,十分だ、足りる
多,duō,多い
几个,jǐgè,いくつか
别忘了,biéwàngle,忘れないで
带,dài,持って行く
相机,xiàngjī,カメラ
一定,yídìng,必ず、きっと
拍照,pāizhào,写真を撮る
留念,liúniàn,記念に残す
放心,fàngxīn,安心する
行李,xínglǐ,荷物
准备,zhǔnbèi,準備する
出发,chūfā,出発する
前一天,qiányītiān,前日
联系,liánxì,連絡する
确认,quèrèn,確認する
真,zhēn,本当に
期待,qīdài,楽しみにする、期待する
这次,zhècì,今回
小林,xiǎolín,（人名）
脸色,liǎnsè,顔色
看起来,kànqǐlái,見たところ〜だ
昨天晚上,zuótiānwǎnshàng,昨夜
开始,kāishǐ,始まる、始める
头疼,tóuténg,頭が痛い
发烧,fāshāo,熱が出る
医院,yīyuàn,病院
硬撑,yìngchēng,無理して我慢する
会议,huìyì,会議
重要,zhòngyào,重要だ
身体,shēntǐ,体、身体
别人,biérén,他の人
先帮,xiānbāng,先に手伝う
处理,chǔlǐ,処理する
个,gè,〜個（量詞）
假,jiǎ,休み、休暇
检查一下,jiǎncháyīxià,ちょっと検査する
陪,péi,付き添う
顺便,shùnbiàn,ついでに
帮,bāng,手伝う
拿药,náyào,薬を受け取る
真是,zhēnshì,本当に〜だ
医生,yīshēng,医者
说不定,shuōbùdìng,もしかしたら〜かもしれない
排队,páiduì,並ぶ、列に並ぶ
快点儿,kuàidiǎnér,早く
后天,hòutiān,明後日
安娜,ānnà,アンナ（人名）
生日,shēngrì,誕生日
她,tā,彼女
惊喜,jīngxǐ,サプライズ、驚きと喜び
聚会,jùhuì,パーティー、集まり
办,bàn,（催しなどを）行う、開く
大,dà,大きい
公司,gōngsī,会社
近,jìn,近い
蛋糕,dàngāo,ケーキ
气球,qìqiú,風船
由,yóu,〜が（〜する）、〜によって
音乐,yīnyuè,音楽
刚买,gāngmǎi,買ったばかり
新,xīn,新しい
礼物,lǐwù,プレゼント
不要,búyào,〜しないで
大家,dàjiā,みんな
想要,xiǎngyào,〜が欲しい、〜したい
一条,yītiáo,一本（細長い物の量詞）
围巾,wéijīn,マフラー
发现,fāxiàn,気づく、発見する
前,qián,前
保密,bǎomì,秘密にする
不会,búhuì,〜しないだろう
告诉,gàosù,伝える、教える
到时候,dàoshíhòu,その時になったら
感动,gǎndòng,感動する
这样,zhèyàng,このように
说定了,shuōdìngle,そう決まった
晚上,wǎnshàng,夜
七点,qīdiǎn,7時
婷婷,tíngtíng,（人名）
家,jiā,家
集合,jíhé,集合する
考虑,kǎolǜ,考える、検討する
跳槽,tiàocáo,転職する
压力,yālì,プレッシャー、ストレス
太大,tàidà,大きすぎる
是因为,shìyīnwèi,〜だからだ
太累,tàilèi,疲れすぎる
同事,tóngshì,同僚
相处,xiāngchǔ,付き合う、共に過ごす
不好,bùhǎo,良くない
主要,zhǔyào,主に
工作量,gōngzuòliàng,仕事量
每天,měitiān,毎日
加班,jiābān,残業する
被叫,bèijiào,呼ばれる（受身）
回去,huíqù,戻る、帰る
开会,kāihuì,会議をする
确实,quèshí,確かに
辛苦,xīnkǔ,大変だ、苦労する
换,huàn,変える、交換する
轻松,qīngsōng,気楽だ、楽だ
冲动,chōngdòng,衝動的だ
辞职,cízhí,辞職する
先想,xiānxiǎng,まず考える
清楚,qīngchǔ,はっきりしている
自己,zìjǐ,自分自身
真正,zhēnzhèng,本当の、真の
说得对,shuōdéduì,言う通りだ
哪家,nǎjiā,どの会社・店
存在,cúnzài,存在する
现在,xiànzài,今、現在
竞争,jìngzhēng,競争
激烈,jīliè,激しい
找,zhǎo,探す、訪ねる
一份,yīfèn,一つの（仕事などの量詞）
适合,shìhé,適合する、合う
事,shì,こと、用事
领导,lǐngdǎo,上司、リーダー
谈谈,tántán,ちょっと話す
看能,kànnéng,〜できるか見てみる
不能,bùnéng,〜できない
调整,tiáozhěng,調整する
安排,ānpái,手配、スケジュール
下周,xiàzhōu,来週
他,tā,彼
谈,tán,話し合う
找到,zhǎodào,見つける
解决办法,jiějuébànfǎ,解決方法
结果,jiéguǒ,結果
照顾,zhàogù,世話をする、大事にする
谢谢你们,xièxiènǐmen,みんなありがとう
聊完,liáowán,話し終わる
感觉,gǎnjué,感じる
王阿姨,wángāyí,（人名）
您好,nínhǎo,こんにちは（丁寧）
来看,láikàn,見に来る
房子,fángzi,家、部屋
这套,zhètào,この（一戸の）
出租,chūzū,賃貸に出す
快,kuài,速い、はやく
进,jìn,入る
刚,gāng,〜したばかり
装修,zhuāngxiū,内装工事、リフォーム
完,wán,終わる
采光,cǎiguāng,採光
阿杰,ājié,（人名）
客厅,kètīng,リビング
挺大,tǐngdà,かなり大きい
地铁站,dìtiězhàn,地下鉄の駅
房租,fángzū,家賃
一个月,yígèyuè,1ヶ月
三千五,sānqiānwǔ,3500（元）
押,yā,敷金として預ける
一付,yīfù,1ヶ月分（押一付三＝敷金1ヶ月・家賃3ヶ月分の前払い）
三,sān,3
包,bāo,含む
物业费,wùyèfèi,管理費
水电费,shuǐdiànfèi,水道光熱費
包括,bāokuò,含む
里面,lǐmiàn,中に
另,lìng,別に
外交,wàijiāo,（另外交＝別途支払う、の一部）
费用,fèiyòng,費用
不算,bùsuàn,〜というほどではない
高,gāo,高い
小区,xiǎoqū,団地、住宅街
很近,hěnjìn,とても近い
合适,héshì,ふさわしい、ぴったりだ
合同,hétóng,契約書
签,qiān,サインする
拿给,nágěi,持って行ってあげる
顺利,shùnlì,順調だ
地住,dìzhù,（順調に）住む
这里,zhèlǐ,ここ
讨论一下,tǎolùnyīxià,ちょっと議論する
环境保护,huánjìngbǎohù,環境保護
看法,kànfǎ,意見、見方
环境污染问题,huánjìngwūrǎnwèntí,環境汚染問題
严重,yánzhòng,深刻だ、重大だ
尤其,yóuqí,特に
空气污染,kōngqìwūrǎn,大気汚染
水污染,shuǐwūrǎn,水質汚染
垃圾,lājī,ゴミ
不容忽视,bùrónghūshì,見過ごせない
说得好,shuōdéhǎo,よく言った
那么,nàme,それでは、それなら
个人,gèrén,個人
做些,zuòxiē,いくつかする
保护环境,bǎohùhuánjìng,環境を守る
首先,shǒuxiān,まず、最初に
尽量,jǐnliàng,できるだけ
节约用水,jiéyuēyòngshuǐ,水を節約する
用电,yòngdiàn,電気を使う
减少,jiǎnshǎo,減らす
浪费,làngfèi,浪費する
出门,chūmén,外出する
坐,zuò,乗る、座る
公交车,gōngjiāochē,バス
少,shǎo,少ない
开车,kāichē,車を運転する
每个,měigè,それぞれの
小事,xiǎoshì,小さなこと
做起,zuòqǐ,〜し始める
环境,huánjìng,環境
一点一点,yìdiǎnyìdiǎn,少しずつ
变,biàn,変わる
抱怨,bàoyuàn,不平を言う
身边,shēnbiān,身の回り
比如,bǐrú,例えば
用,yòng,使う
塑料袋,sùliàodài,レジ袋、ビニール袋
组织,zǔzhī,組織する、企画する
环保,huánbǎo,環境保護（の）
活动,huódòng,活動
植树,zhíshù,植樹する
分类,fēnlèi,分類する
宣传,xuānchuán,啓発する、宣伝する
建议,jiànyì,提案する、提案
我会,wǒhuì,私は〜します
它,tā,それ
反映,fǎnyìng,反映する
尽快,jǐnkuài,できるだけ早く
实施,shíshī,実施する
努力,nǔlì,努力
真的,zhēnde,本当に
变得,biàndé,〜になる
更好,gènghǎo,もっと良い
阿伟,āwěi,（人名）
这是,zhèshì,これは〜です
照片,zhàopiān,写真
好看,hǎokàn,綺麗だ、見栄えがいい
谁,shuí,誰
这,zhè,これ
兄弟姐妹,xiōngdìjiěmèi,兄弟姉妹
哥哥,gēgē,お兄さん
妹妹,mèimèi,妹
十五岁,shíwǔsuì,15歳
中学生,zhōngxuéshēng,中学生
一家人,yījiārén,一家、家族全員
可爱,kěài,可愛い
改天,gǎitiān,日を改めて、また今度
玩儿,wánér,遊ぶ
小雪,xiǎoxuě,（人名）
吃饺子,chījiǎozi,餃子を食べる
面条,miàntiáo,麺
喝茶,hēchá,お茶を飲む
喝咖啡,hēkāfēi,コーヒーを飲む
太苦,tàikǔ,苦すぎる
早上,zǎoshàng,朝
田田,tiántián,（人名）
星期,xīngqī,曜日、週
几,jǐ,いくつ
星期三,xīngqīsān,水曜日
星期四,xīngqīsì,木曜日
汉语,hànyǔ,中国語
课,kè,授業
图书馆,túshūguǎn,図書館
看书,kànshū,本を読む
在家,zàijiā,家にいる
休息,xiūxī,休む、休憩する
下个星期,xiàgèxīngqī,来週
几天,jǐtiān,何日か
阿丽,ālì,（人名）
八点半,bādiǎnbàn,8時半
糟糕,zāogāo,まずい、しまった
九点,jiǔdiǎn,9時
有课,yǒukè,授業がある
别着急,biézháojí,焦らないで
还有,háiyǒu,まだ〜がある、それから
半个,bàngè,半分の
小时,xiǎoshí,〜時間
多长时间,duōzhǎngshíjiān,どのくらいの時間
大概,dàgài,だいたい、おそらく
二十分钟,èrshífēnzhōng,20分間
路上,lùshàng,道中
小心,xiǎoxīn,気をつける
下课后,xiàkèhòu,授業の後
哪里,nǎlǐ,どこ
舒服,shūfú,気分がいい、快適だ
肚子疼,dǔziténg,お腹が痛い
恶心,ěxīn,吐き気がする
疼,téng,痛い
填,tián,記入する
这张,zhèzhāng,この一枚の
表格,biǎogé,用紙、フォーム
等,děng,待つ
多久,duōjiǔ,どのくらいの間
前面,qiánmiàn,前
名字,míngzì,名前
时候,shíhòu,時、頃
请进去,qǐngjìnqù,どうぞお入りください
明白,míngbái,分かる
寄,jì,郵送する
包裹,bāoguǒ,荷物、小包
日本,rìběn,日本
放在,fàngzài,〜に置く
几本书,jǐběnshū,何冊かの本
飞机,fēijī,飛行機
船运,chuányùn,船便
哪个,nǎge,どちら、どれ
一个多月,yígèduōyuè,1ヶ月あまり
贵,guì,（値段が）高い
没关系,méiguānxì,大丈夫、構いません
一共,yīgòng,全部で
八十五,bāshíwǔ,85
块钱,kuàiqián,元（お金の単位）
左右,zuǒyòu,〜くらい、前後
剪,jiǎn,切る（髪などを）
发型,fàxíng,髪型
剪短,jiǎnduǎn,短く切る
太热,tàirè,暑すぎる
剪到,jiǎndào,〜まで切る
肩膀,jiānbǎng,肩
上边,shàngbiān,上のほう
样子,yàngzi,様子、感じ
这种,zhèzhǒng,この種の
脸型,liǎnxíng,顔の形
照,zhào,〜に沿って、〜通りに
染,rǎn,染める
先不染,xiānbùrǎn,今は染めない
下次,xiàcì,次回
再说,zàishuō,また今度言う、それに
洗头,xǐtóu,髪を洗う
麻烦,máfán,面倒をかける、お手数をかける
手机,shǒujī,携帯電話
屏幕,píngmù,画面
坏,huài,壊れる
摔坏,shuāihuài,落として壊す
昨天,zuótiān,昨日
摔,shuāi,落とす、転ぶ
修,xiū,修理する
需要,xūyào,必要とする
三百块,sānbǎikuài,300元
今天下午,jīntiānxiàwǔ,今日の午後
修好,xiūhǎo,修理し終える
就行,jiùxíng,〜でよい、大丈夫
附近,fùjìn,近く
打电话,dǎdiànhuà,電話をかける
阿哲,āzhé,（人名）
学长,xuézhǎng,先輩（学校の）
毕业,bìyè,卒業する
着急,zháojí,焦る
先说,xiānshuō,まず話す
我学,wǒxué,私が学ぶ
市场营销,shìchǎngyíngxiāo,マーケティング
一家,yījiā,1社、一軒
投,tóu,投げる、（履歴書を）送る
份,fèn,〜通、〜部（書類の量詞）
简历,jiǎnlì,履歴書
投了,tóule,送った
二十多,èrshíduō,20あまり
三家,sānjiā,3社
回复,huífù,返信する
面试,miànshì,面接
一般,yìbān,普段、一般的に
自我介绍,zìwǒjièshào,自己紹介
遇到,yùdào,出会う、遭遇する
难题,nántí,難問
紧张,jǐnzhāng,緊張する
练习,liànxí,練習する
几次,jǐcì,何回か
模拟,mónǐ,模擬、シミュレーション
那太,nàtài,それは〜すぎる
感谢,gǎnxiè,感謝する
改改,gǎigǎi,少し直す
见面,jiànmiàn,会う
聊聊吧,liáoliáoba,話しましょう
张叔,zhāngshū,張さん（張おじさん）
下个月,xiàgèyuè,来月
搬家,bānjiā,引っ越す
您,nín,あなた（敬称）
一声,yīshēng,一言、ひとこと
变动,biàndòng,変動、異動
搬到,bāndào,〜へ移転する
押金,yājīn,敷金
算,suàn,計算する
退,tuì,返す、返却する
打扫,dǎsǎo,掃除する
干净,gānjìng,きれいだ
没有,méiyǒu,ない
损坏,sǔnhuài,損壊する、壊れる
全部,quánbù,全部
另外,lìngwài,そのほか、別に
月,yuè,月
交了,jiāole,支払った
约个,yuēgè,〜を約束する、決める
下,xià,下、次
周六,zhōuliù,土曜日
下午,xiàwǔ,午後
方便,fāngbiàn,都合がいい
过来,guòlái,こちらに来る
感谢您,gǎnxiènín,あなたに感謝します
段时间,duànshíjiān,一定の期間
阿飞,āfēi,（人名）
学期,xuéqī,学期
选,xuǎn,選ぶ
我选,wǒxuǎn,私は選ぶ
经济学,jīngjìxué,経済学
一门,yīmén,一科目
历史课,lìshǐkè,歴史の授業
作业,zuòyè,宿題、課題
老师,lǎoshī,先生
讲得,jiǎngdé,話すのが（〜だ）
有意思,yǒuyìsi,面白い
本来,běnlái,もともと
想选,xiǎngxuǎn,選びたい
那门,nàmén,あの科目
英语课,yīngyǔkè,英語の授業
冲突,chōngtū,衝突する、かち合う
最后,zuìhòu,最後に
心理学,xīnlǐxué,心理学
这门,zhèmén,この科目
受欢迎,shòuhuānyíng,人気がある
要求,yāoqiú,要求する
写,xiě,書く
很多,hěnduō,多くの
报告,bàogào,レポート
内容,nèiróng,内容
很感兴趣,hěngǎnxìngqù,とても興味がある
学习,xuéxí,勉強する
互相监督,hùxiāngjiāndū,お互いに監視し合う
才能,cáinéng,〜してこそ〜できる（才+能の組み合わせ、名詞の「才能」とは別）
坚持下去,jiānchíxiàqù,続けていく
店长,diànzhǎng,店長
事情,shìqíng,出来事、事柄
顾客,gùkè,お客様
误会,wùhuì,誤解
那位,nàwèi,あの方
态度,tàidù,態度
其实,qíshí,実は
只是,zhǐshì,ただ〜なだけ
累,lèi,疲れる
理解,lǐjiě,理解する
保持,bǎochí,保つ
礼貌,lǐmào,礼儀
注意,zhùyì,注意する
实在太,shízàitài,本当に〜すぎる
休息时间,xiūxīshíjiān,休憩時間
店里,diànlǐ,店の中
比较忙,bǐjiàománg,わりと忙しい
我能,wǒnéng,私は〜できる
坚持,jiānchí,頑張り続ける、堅持する
改善,gǎishàn,改善する
排班,páibān,シフト、勤務割り当て
重新安排,chóngxīnānpái,改めて手配する
班表,bānbiǎo,シフト表
继续,jìxù,続ける
教授,jiàoshòu,教授
王先生,wángxiānshēng,王さん
聊聊,liáoliáo,ちょっと話す
经济,jīngjì,経済
形势,xíngshì,情勢、状況
王教授,wángjiàoshòu,王教授（人名）
目前,mùqián,現在、目下
通货膨胀,tōnghuòpéngzhàng,インフレ
认为,rènwéi,〜と考える、思う
全球,quánqiú,グローバル、全世界
供应链,gōngyìngliàn,サプライチェーン
造成,zàochéng,引き起こす
短期内,duǎnqīnèi,短期間内に
很难,hěnnán,〜するのが難しい
完全,wánquán,完全に
解决,jiějué,解決する
普通,pǔtōng,普通の
老百姓,lǎobǎixìng,一般庶民
应对,yìngduì,対応する
情况,qíngkuàng,状況
控制,kòngzhì,コントロールする
不必要,bùbìyào,不必要な
开支,kāizhī,支出
适当,shìdàng,適当な、適切な
进行,jìnxíng,行う
投资,tóuzī,投資する
风险,fēngxiǎn,リスク
这方面,zhèfāngmiàn,この方面、この点
所有,suǒyǒu,すべての
投到,tóudào,〜に投資する
分散,fēnsàn,分散する
降低,jiàngdī,下げる
对于,duìyú,〜に対して、〜について
年轻人,niánqīngrén,若者
来说,láishuō,（〜にとって）言えば
买房,mǎifáng,家を買う
好时机,hǎoshíjī,良いタイミング
比较复杂,bǐjiàofùzá,わりと複雑だ
状况,zhuàngkuàng,状況
所在城市,suǒzàichéngshì,所在する都市
房价,fángjià,不動産価格
走势,zǒushì,動向、トレンド
未来,wèilái,未来
一年,yīnián,1年
预测,yùcè,予測する
逐渐,zhújiàn,徐々に
恢复,huīfù,回復する
过程,guòchéng,プロセス、過程
缓慢,huǎnmàn,緩やかだ
非常感谢,fēichánggǎnxiè,非常に感謝する
精彩,jīngcǎi,素晴らしい
分享,fēnxiǎng,シェアする、分かち合う
讨论,tǎolùn,討論する
社会,shèhuì,社会
少子,shǎozǐ,少子
化,huà,〜化
老龄化,lǎolínghuà,高齢化
愿意,yuànyì,〜したいと思う、望む
生,shēng,産む
孩子,háizi,子供
养,yǎng,育てる
影响,yǐngxiǎng,影響する
事业,shìyè,キャリア、事業
发展,fāzhǎn,発展する
道理,dàolǐ,道理、理屈
政府,zhèngfǔ,政府
采取,cǎiqǔ,採る、講じる
措施,cuòshī,措置
提供,tígōng,提供する
育儿,yùér,育児
补贴,bǔtiē,補助金、手当
托儿,tuōér,保育
延长,yáncháng,延長する
产假,chǎnjià,産休
鼓励,gǔlì,奨励する
企业,qǐyè,企業
弹性,tánxìng,弾力的な、フレキシブルな
无论如何,wúlùnrúhé,いずれにせよ
完善,wánshàn,整備する、完全にする
养老保险,yǎnglǎobǎoxiǎn,年金保険
制度,zhìdù,制度
基本,jīběn,基本的な
一步,yībù,一歩
这些,zhèxiē,これらの
长远,chángyuǎn,長期的な
值得,zhíde,〜する価値がある
投入,tóurù,投入する
关注,guānzhù,関心を持つ、注目する
话题,huàtí,話題
人工智能,réngōngzhìnéng,人工知能
技术,jìshù,技術
李博士,lǐbóshì,李博士（人名）
AI,AI,AI（人工知能）
渗透到,shèntòudào,〜に浸透する
生活,shēnghuó,生活
方方面面,fāngfāngmiànmiàn,あらゆる方面
改变,gǎibiàn,変える
方式,fāngshì,方式、やり方
担心,dānxīn,心配する
取代,qǔdài,取って代わる
人类,rénlèi,人類
如何,rúhé,どのように
合作,hézuò,協力する
提高,tígāo,高める、向上させる
竞争力,jìngzhēnglì,競争力
阿凯,ākǎi,（人名）
作为,zuòwéi,〜として
工程师,gōngchéngshī,エンジニア
实际,shíjì,実際の
中,zhōng,〜の中で
挑战,tiǎozhàn,挑戦、チャレンジ
最大,zuìdà,最大の
数据,shùjù,データ
隐私,yǐnsī,プライバシー
安全,ānquán,安全
必须,bìxū,〜しなければならない
非常,fēicháng,非常に
谨慎,jǐnshèn,慎重だ
先进,xiānjìn,先進的な
伦理,lúnlǐ,倫理
法律,fǎlǜ,法律
规范,guīfàn,規範
忽视,hūshì,無視する
普通人,pǔtōngrén,一般人
面对,miànduì,向き合う
变革,biàngé,変革
开放,kāifàng,オープンな
心态,xīntài,心理状態、マインド
尽早,jǐnzǎo,できるだけ早く
了解,liǎojiě,理解する、把握する
相关,xiāngguān,関連する
知识,zhīshí,知識
两位,liǎngwèi,お二方
更深,gēngshēn,より深く
改革,gǎigé,改革する
想法,xiǎngfǎ,考え
灵活,línghuó,柔軟な
上下班,shàngxiàbān,出退勤
同意,tóngyì,同意する
远程,yuǎnchéng,リモート、遠隔
办公,bàngōng,仕事をする、執務する
比例,bǐlì,割合
增加,zēngjiā,増やす
一部分,yībùfèn,一部分
员工,yuángōng,社員、従業員
效率,xiàolǜ,効率
管理,guǎnlǐ,管理する
上,shàng,上、〜において
困难,kùnnán,困難
设立,shèlì,設立する、設定する
目标,mùbiāo,目標
考核,kǎohé,評価、査定
标准,biāozhǔn,基準
不是,búshì,〜ではない
各,gè,それぞれの
部门,bùmén,部署
沟通,gōutōng,コミュニケーションを取る
精简,jīngjiǎn,簡素化する
流程,liúchéng,プロセス、流れ
部长,bùzhǎng,部長
工作效率,gōngzuòxiàolǜ,仕事の効率
不少,bùshǎo,少なくない
试行,shìxíng,試行する
然后,ránhòu,それから
根据,gēnjù,〜に基づいて
反馈,fǎnkuì,フィードバック
平衡,pínghéng,バランス
阿明,āmíng,（人名）
今天天气,jīntiāntiānqì,今日の天気
晴朗,qínglǎng,晴れ渡っている
一会儿,yīhuìer,しばらく、少しの間
不冷,bùlěng,寒くない（不＋冷）
热,rè,暑い
散步,sànbù,散歩する
带上,dàishàng,持っていく
水,shuǐ,水
帽子,màozi,帽子
小刚,xiǎogāng,（人名）
几月,jǐyuè,何月
几号,jǐhào,何日
五月,wǔyuè,5月
十号,shíhào,10日
十二月,shíèryuè,12月
二十,èrshí,20
号,hào,〜日
冬天,dōngtiān,冬
冷,lěng,寒い
有空,yǒukòng,暇がある、時間がある
生日快乐,shēngrìkuàilè,誕生日おめでとう
阿雪,āxuě,（人名）
蓝色,lánsè,青色
绿色,lǜsè,緑色
黄色,huángsè,黄色
太亮,tàiliàng,明るすぎる（太＋亮）
东西,dōngxī,もの
阿龙,ālóng,（人名）
小,xiǎo,小さい
动物,dòngwù,動物
一只,yīzhī,一匹（量詞）
猫,māo,猫
小白,xiǎobái,小白（ペットの名前）
狗,gǒu,犬
狗叫,gǒujiào,犬は〜という名前（狗＋叫、叫＝〜と呼ばれる）
豆豆,dòudòu,豆豆（ペットの名前）
跑步,pǎobù,走る、ランニングする
我带,wǒdài,私が連れていく（我＋带）
它们,tāmen,それら（動物などを指す）
成为,chéngwéi,〜になる
小娟,xiǎojuān,（人名）
弟弟,dìdi,弟
几岁,jǐsuì,何歳
三岁,sānsuì,3歳
二十五岁,èrshíwǔsuì,25歳
感情,gǎnqíng,感情
经常,jīngcháng,よく、しょっちゅう
逛街,guàngjiē,街をぶらぶらする、ショッピングする
家里,jiālǐ,家、家の中
最小,zuìxiǎo,一番下、最年少
他们,tāmen,彼ら
阿超,āchāo,（人名）
收拾,shōushí,片付ける
打包,dǎbāo,荷造りする、パッキングする
书,shū,本
占,zhàn,占める、場所を取る
新家离,xīnjiālí,新しい家は〜（から/まで）（新家＋离）
坐地铁,zuòdìtiě,地下鉄に乗る
三十分钟,sānshífēnzhōng,30分間
欢迎,huānyíng,歓迎する
常,cháng,よく、しょっちゅう
以前,yǐqián,以前
做过,zuòguò,したことがある（做＋过）
服务员,fúwùyuán,（人名）
咖啡店,kāfēidiàn,コーヒー店、カフェ
打,dǎ,（アルバイトを）する
半年,bànnián,半年
工,gōng,（打工の一部）アルバイト
客人,kèrén,お客さん
四天,sìtiān,4日間
优点,yōudiǎn,長所
做事,zuòshì,仕事をする、物事を行う
认真,rènzhēn,真面目に
耐心,nàixīn,忍耐強い、根気
内会,nèihuì,〜以内に〜するだろう（内＝以内、会＝〜だろう）
通知,tōngzhī,知らせる、通知する
机会,jīhuì,機会
借书,jièshū,本を借りる
还书,huánshū,本を返す
两本,liǎngběn,2冊
借,jiè,借りる
