level,hanzi,pinyin,meaning_ja
5,电子版,diànzǐbǎn,電子版
5,调动,diàodòng,異動
5,丢,diū,紛失
5,典礼,diǎnlǐ,式典
5,点燃,diǎnrán,点火
5,对立,duìlì,対立
5,对应,duìyìng,対応
5,堆,duī,山積み
5,朵,duǒ,花
5,躲,duǒ,隠れる
5,大都,dàdōu,ほとんど
5,大胆,dàdǎn,大胆
5,大纲,dàgāng,概要
5,大伙儿,dàhuǒr,みんな
5,待,dài,待つ
5,代价,dàijià,代償
5,贷款,dàikuǎn,ローン
5,代理,dàilǐ,代理人
5,带有,dàiyǒu,～を伴う
5,大奖赛,dàjiǎngsài,グランプリ
5,蛋糕,dàngāo,ケーキ
5,大脑,dànǎo,脳
5,道德,dàodé,道徳
5,倒是,dàoshì,むしろ
5,大事,dàshì,重大なこと、大事件（日本語の「大事＝重要」という形容動詞的な使い方より、名詞として「大きな出来事」を指すことが多い）
5,大象,dàxiàng,ゾウ
5,大熊猫,dàxióngmāo,ジャイアントパンダ
5,大于,dàyú,より大きい
5,大致,dàzhì,おおよそ
5,达成,dáchéng,達成
5,答复,dáfù,返答
5,得了,déle,得た
5,得以,déyǐ,～することができた
5,递,dì,手渡す
5,地带,dìdài,地域
5,递给,dìgěi,式典
5,地形,dìxíng,地形
5,地震,dìzhèn,地震
5,冻,dòng,凍結
5,洞,dòng,穴
5,动机,dòngjī,動機
5,动手,dòngshǒu,着手
5,动态,dòngtài,動向
5,动员,dòngyuán,動員
5,豆制品,dòuzhìpǐn,豆製品
5,毒,dú,毒
5,呆,dāi,ぼんやり
5,当场,dāngchǎng,その場
5,当代,dāngdài,現代
5,当年,dāngnián,当時
5,当前,dāngqián,現在
5,当选,dāngxuǎn,当選
5,单一,dānyī,単一
5,等候,děnghòu,待つ
5,等级,děngjí,等級
5,吨,dūn,トン
5,打,dǎ,〜から（起点を表す前置詞、例：打这儿走）
5,打扮,dǎban,身だしなみ
5,打包,dǎbāo,梱包
5,打架,dǎjià,喧嘩
5,打击,dǎjī,打撃
5,胆,dǎn,度胸
5,挡,dǎng,防ぐ
5,胆小,dǎnxiǎo,臆病
5,放大,fàngdà,拡大
5,罚,fá,罰
5,罚款,fákuǎn,罰金
5,防治,fángzhì,予防・対策
5,繁荣,fánróng,繁栄
5,附件,fùjiàn,添付ファイル
5,扶,fú,支援
5,服从,fúcóng,服従
5,幅度,fúdù,振幅
5,福利,fúlì,福利
5,发布,fābù,発表
5,发觉,fājué,発見
5,发射,fāshè,発射
5,发行,fāxíng,発行
5,分成,fēnchéng,分割
5,封,fēng,封をする、閉じる（動詞用法）
5,疯,fēng,狂気
5,风度,fēngdù,品格
5,风光,fēngguāng,風光明媚
5,疯狂,fēngkuáng,狂乱
5,丰收,fēngshōu,豊作
5,分解,fēnjiě,分解
5,分类,fēnlèi,分類
5,分离,fēnlí,分離
5,分享,fēnxiǎng,共有
5,分析,fēnxī,分析
5,法规,fǎguī,法規
5,返回,fǎnhuí,戻る
5,法制,fǎzhì,法制
5,辅助,fǔzhù,補助
5,怪,guài,責める、とがめる（動詞用法）
5,冠军,guànjūn,チャンピオン
5,柜子,guìzi,戸棚
5,过度,guòdù,過度
5,过敏,guòmǐn,アレルギー
5,过于,guòyú,過度に
5,国民,guómín,国民
5,光荣,guāngróng,栄光
5,光线,guāngxiàn,光線
5,关怀,guānhuái,思いやり
5,规划,guīhuà,計画
5,锅,guō,鍋
5,广,guǎng,広
5,广泛,guǎngfàn,広範囲
5,鬼,guǐ,幽霊
5,个儿,gèr,一人
5,隔壁,gébì,隣
5,共计,gòngjì,合計
5,共享,gòngxiǎng,共有
5,顾问,gùwèn,顧問
5,干脆,gāncuì,きっぱり
5,钢笔,gāngbǐ,万年筆
5,干扰,gānrǎo,干渉
5,干预,gānyù,介入
5,高大,gāodà,背が高い
5,高度,gāodù,高さ
5,高跟鞋,gāogēnxié,ハイヒール
5,高原,gāoyuán,高原
5,更换,gēnghuàn,交換
5,更新,gēngxīn,更新
5,跟前,gēnqián,目の前
5,跟随,gēnsuí,従う
5,歌曲,gēqǔ,歌
5,公告,gōnggào,告知
5,公认,gōngrèn,公認
5,公式,gōngshì,公式（数式・計算式の意味が中心。日本語の「公式（＝official）」の意味は薄い）
5,工艺,gōngyì,技術
5,公正,gōngzhèng,公正
5,工作日,gōngzuòrì,平日
5,沟,gōu,溝
5,沟通,gōutōng,コミュニケーション
5,改革,gǎigé,改革
5,感想,gǎnxiǎng,感想
5,搞,gǎo,やる
5,搞好,gǎohǎo,しっかり
5,鼓,gǔ,太鼓
5,古老,gǔlǎo,古くからの
5,滚,gǔn,転がる
5,鼓掌,gǔzhǎng,拍手
5,划分,huàfēn,区分
5,画面,huàmiàn,画面
5,化石,huàshí,化石
5,滑,huá,滑る
5,环节,huánjié,段階
5,华语,huáyǔ,中国語
5,汇款,huìkuǎn,送金
5,会谈,huìtán,会談
5,回报,huíbào,見返り
5,回避,huíbì,回避
5,回顾,huígù,振り返り
5,回收,huíshōu,回収
5,回头,huítóu,振り返る
5,或是,huòshì,あるいは
5,活力,huólì,活力
5,慌,huāng,慌て
5,慌忙,huāngmáng,慌ただしい
5,恢复,huīfù,回復
5,灰色,huīsè,灰色
5,火柴,huǒchái,マッチ
5,火腿,huǒtuǐ,ハム
5,火灾,huǒzāi,火災
5,害,hài,害、害する
5,号召,hàozhào,呼びかけ
5,贺卡,hèkǎ,グリーティングカード
5,恨,hèn,恨み
5,盒,hé,箱
5,合并,hébìng,合併
5,合成,héchéng,合成
5,盒饭,héfàn,弁当
5,猴,hóu,猿
5,胡同儿,hútòngr,路地
5,胡子,húzi,ひげ
5,好运,hǎoyùn,幸運
5,虎,hǔ,虎
5,价,jià,価格
5,键,jiàn,キー
5,间接,jiànjiē,間接的な
5,键盘,jiànpán,キーボード
5,健全,jiànquán,健全な
5,建筑,jiànzhù,建築
5,建造,jiànzào,建設
5,驾驶,jiàshǐ,運転
5,驾照,jiàzhào,運転免許
5,戒,jiè,戒律
5,届,jiè,任期
5,救灾,jiùzāi,災害救援
5,夹,jiā,挟む
5,肩,jiān,肩
5,坚定,jiāndìng,確固たる
5,艰苦,jiānkǔ,過酷な
5,艰难,jiānnán,困難な
5,交代,jiāodài,説明
5,胶带,jiāodài,テープ
5,胶水,jiāoshuǐ,接着剤
5,加热,jiārè,加熱
5,加速,jiāsù,加速
5,加以,jiāyǐ,さらに
5,接触,jiēchù,接触
5,接连,jiēlián,連続
5,解除,jiěchú,解除
5,解放,jiěfàng,解放
5,甲,jiǎ,甲（第一位、または甲殻）
5,剪,jiǎn,切る
5,剪刀,jiǎndāo,はさみ
5,奖励,jiǎnglì,報酬
5,检验,jiǎnyàn,検査
5,剪子,jiǎnzi,ハサミ
5,脚步,jiǎobù,足音
5,酒鬼,jiǔguǐ,酒飲み
5,决不,juébù,決して
5,绝望,juéwàng,絶望
5,继承,jìchéng,継承
5,竞赛,jìngsài,競技
5,进化,jìnhuà,進化
5,近来,jìnlái,最近
5,技能,jìnéng,スキル
5,记忆,jìyì,記憶
5,集团,jítuán,グループ
5,剧本,jùběn,脚本
5,俱乐部,jùlèbù,クラブ
5,局面,júmiàn,情勢
5,局长,júzhǎng,局長
5,基地,jīdì,基地、拠点（軍事に限らず、研究・生産拠点なども広く指す）
5,基金,jījīn,基金、ファンド
5,经费,jīngfèi,経費
5,今日,jīnrì,今日
5,机器人,jīqìrén,ロボット
5,肌肉,jīròu,筋肉
5,机制,jīzhì,メカニズム
5,军人,jūnrén,軍人
5,居然,jūrán,まさか
5,挤,jǐ,押し込む
5,警告,jǐnggào,警告
5,景象,jǐngxiàng,光景
5,紧紧,jǐnjǐn,しっかりと
5,尽可能,jǐnkěnéng,できる限り
5,举动,jǔdòng,行動
5,快活,kuàihuo,陽気
5,狂,kuáng,狂気
5,宽度,kuāndù,幅
5,亏,kuī,損失
5,看成,kànchéng,～と見なす
5,看出,kànchū,～と見る
5,看待,kàndài,～と捉える
5,靠近,kàojìn,近づく
5,客户,kèhù,顧客
5,课题,kètí,課題
5,控制,kòngzhì,制御
5,库,kù,倉庫
5,困扰,kùnrǎo,悩み
5,开幕,kāimù,開幕
5,开幕式,kāimùshì,開会式
5,颗,kē,粒
5,可,kě,〜できる、可能である（例：可以の可）
5,可怜,kělián,哀れ
5,渴望,kěwàng,渇望
5,空中,kōngzhōng,空中
5,考核,kǎohé,評価
5,烤肉,kǎoròu,焼肉
5,烤鸭,kǎoyā,北京ダック
5,口号,kǒuhào,スローガン
5,恋爱,liàn’ài,恋愛
5,连接,liánjiē,接続
5,联络,liánluò,連絡
5,联想,liánxiǎng,連想
5,流动,liúdòng,流動
5,流通,liútōng,流通
5,两岸,liǎngàn,両岸
5,脸盆,liǎnpén,洗面器
5,脸色,liǎnsè,顔色
5,落实,luòshí,実行
5,逻辑,luóji,論理
5,落,là,置き忘れる、抜け落ちる、取り残す（第四声 luò「落ちる」とは別の読み）
5,烂,làn,腐った
5,来信,láixìn,手紙
5,劳动,láodòng,労働
5,立,lì,立つ
5,立场,lìchǎng,立場
5,令,lìng,命令する、〜させる（使役）
5,利润,lìrùn,利益
5,例外,lìwài,例外
5,梨,lí,梨
5,铃,líng,鈴
5,铃声,língshēng,鈴の音
5,邻居,línjū,隣人
5,漏,lòu,漏れ
5,漏洞,lòudòng,抜け穴
5,朗读,lǎngdú,朗読
5,礼,lǐ,礼、礼儀、贈り物
5,礼拜,lǐbài,礼拝
5,领带,lǐngdài,ネクタイ
5,面貌,miànmào,様子
5,面子,miànzi,体面
5,骂,mà,罵る
5,漫长,màncháng,長い
5,漫画,mànhuà,漫画
5,冒,mào,冒す、（危険を）おかす
5,贸易,màoyì,貿易
5,毛笔,máobǐ,筆
5,矛盾,máodùn,矛盾
5,煤,méi,石炭
5,煤气,méiqì,ガス
5,门诊,ménzhěn,外来診療
5,命令,mìnglìng,命令
5,明亮,míngliàng,明るい
5,明明,míngmíng,明らかに
5,迷人,mírén,魅力的な
5,迷信,míxìn,迷信
5,摩擦,mócā,摩擦
5,模范,mófàn,模範
5,模仿,mófǎng,模倣
5,模糊,móhu,ぼやけ
5,模式,móshì,パターン
5,摩托,mótuō,バイク
5,目光,mùguāng,視線
5,模样,múyàng,姿
5,买卖,mǎimài,売買
5,码头,mǎtóu,埠頭
5,敏感,mǐngǎn,敏感
5,年度,niándù,年度
5,年前,niánqián,数年前
5,牛,niú,すごい、やり手だ（俗語・形容詞用法）
5,牛仔裤,niúzǎikù,ジーンズ
5,暖,nuǎn,暖かい
5,南北,nánběi,南北
5,难得,nándé,めったにない
5,南极,nánjí,南極
5,难以,nányǐ,難しい
5,内在,nèizài,内面
5,能量,néngliàng,エネルギー
5,农产品,nóngchǎnpǐn,農産物
5,脑子,nǎozi,頭
5,骗,piàn,だます
5,骗子,piànzi,詐欺師
5,排除,páichú,除外
5,旁,páng,傍ら
5,配备,pèibèi,装備
5,配套,pèitào,セット
5,赔,péi,賠償
5,赔偿,péicháng,補償
5,盆,pén,洗面器
5,频道,píndào,チャンネル
5,频繁,pínfán,頻繁
5,凭,píng,～に基づいて
5,评估,pínggū,評価する
5,评论,pínglùn,論評、コメント
5,平坦,píngtǎn,平坦な
5,平原,píngyuán,平原
5,拍摄,pāishè,撮影
5,喷,pēn,噴射
5,披,pī,羽織る
5,拼,pīn,つなぎ合わせる、力を尽くす
5,泼,pō,まく、浴びせる
5,匹,pǐ,（馬・布などを数える）量詞
5,品,pǐn,品物
5,品,pǐn,〜品（名詞に付く用法、例：工艺品＝工芸品）
5,品种,pǐnzhǒng,品種
5,欠,qiàn,不足
5,墙壁,qiángbì,壁
5,强度,qiángdù,強度
5,前景,qiánjǐng,見通し
5,前提,qiántí,前提
5,瞧,qiáo,見て
5,签,qiān,署名する、サインする（動詞用法）
5,签订,qiāndìng,締結
5,枪,qiāng,銃
5,签名,qiānmíng,署名
5,签约,qiānyuē,契約
5,签字,qiānzì,署名
5,敲门,qiāomén,ドアをノックする
5,悄悄,qiāoqiāo,こっそり
5,抢,qiǎng,奪う
5,抢救,qiǎngjiù,救助
5,强迫,qiǎngpò,強制
5,劝,quàn,説得
5,泉,quán,泉
5,全世界,quánshìjiè,全世界
5,确立,quèlì,確立
5,缺乏,quēfá,欠如
5,气体,qìtǐ,気体
5,气象,qìxiàng,気象
5,其,qí,その
5,勤奋,qínfèn,勤勉
5,情节,qíngjié,筋書き
5,晴朗,qínglǎng,晴れ
5,情形,qíngxíng,状況
5,齐全,qíquán,揃っている
5,群体,qúntǐ,集団
5,群众,qúnzhòng,大衆
5,青,qīng,青、青緑色（また「若い」の意も、例：青年）
5,清晨,qīngchén,早朝
5,清理,qīnglǐ,片付ける
5,期望,qīwàng,期待
5,区域,qūyù,地域
5,启动,qǐdòng,起動
5,启发,qǐfā,啓発
5,起码,qǐmǎ,少なくとも
5,启事,qǐshì,告知
5,软,ruǎn,ソフト
5,软件,ruǎnjiàn,ソフトウェア
5,绕,rào,絡まる
5,热量,rèliàng,熱量
5,热门,rèmén,人気
5,认,rèn,認める
5,认定,rèndìng,認定する
5,仍旧,réngjiù,相変わらず
5,人间,rénjiān,人間界
5,人力,rénlì,人力
5,人士,rénshì,関係者
5,人物,rénwù,人物
5,入门,rùmén,入門
5,如此,rúcǐ,そのように
5,如同,rútóng,～のように
5,如下,rúxià,以下の通り
5,忍,rěn,忍耐
5,忍不住,rěnbuzhù,我慢できない
5,忍受,rěnshòu,耐える
5,染,rǎn,染まる
5,率领,shuàilǐng,率いる
5,睡眠,shuìmián,睡眠
5,摔,shuāi,転ぶ
5,摔倒,shuāidǎo,転倒
5,双手,shuāngshǒu,両手
5,水产品,shuǐchǎnpǐn,水産物
5,水分,shuǐfèn,水分
5,水库,shuǐkù,貯水池
5,水灾,shuǐzāi,水害
5,扇,shàn,扇子
5,上级,shàngjí,上下
5,上下,shàngxià,上昇
5,上涨,shàngzhǎng,上昇
5,扇子,shànzi,商標
5,社,shè,〜社（組織・団体を表す語、例：报社＝新聞社）
5,射,shè,射る、発射する（動詞用法）
5,射击,shèjī,射撃
5,胜负,shèngfù,勝敗
5,剩下,shèngxià,残った
5,社区,shèqū,コミュニティ
5,摄像,shèxiàng,撮影
5,摄像机,shèxiàngjī,カメラ
5,设想,shèxiǎng,想定
5,摄影,shèyǐng,写真
5,摄影师,shèyǐngshī,写真家
5,蛇,shé,蛇
5,神,shén,神
5,神经,shénjīng,神経
5,神奇,shénqí,不思議
5,神情,shénqíng,表情
5,式,shì,式、〜式（儀式・形式・数式）
5,示范,shìfàn,模範
5,势力,shìlì,勢力
5,试图,shìtú,試みる
5,视为,shìwéi,見なす
5,拾,shí,拾う
5,时常,shícháng,しばしば
5,时光,shíguāng,時間
5,实惠,shíhuì,実益
5,时机,shíjī,好機
5,时事,shíshì,時事
5,十足,shízú,十分
5,瘦,shòu,痩せた
5,寿司,shòusī,寿司
5,受灾,shòuzāi,被災
5,数目,shùmù,数
5,杀,shā,ウイルス対策
5,杀毒,shādú,砂漠
5,沙漠,shāmò,愚か
5,扇,shān,あおぐ、扇ぐ（動詞用法。名詞「扇子」はshànと読む別項目）
5,商标,shāngbiāo,上級
5,山区,shānqū,扇
5,伸,shēn,伸ばす
5,深处,shēnchù,奥深く
5,深度,shēndù,深さ
5,声,shēng,声
5,生成,shēngchéng,生成
5,升高,shēnggāo,上昇
5,舍不得,shěbude,惜しい
5,舍得,shěde,惜しまない
5,诗歌,shīgē,詩
5,失误,shīwù,ミス
5,收购,shōugòu,買収
5,收集,shōují,収集
5,输出,shūchū,出力
5,蔬菜,shūcài,野菜
5,书法,shūfǎ,書道
5,书柜,shūguì,本棚
5,书桌,shūzhuō,机
5,傻,shǎ,山間部
5,使得,shǐde,～させる
5,手段,shǒuduàn,手段
5,手法,shǒufǎ,手法
5,鼠,shǔ,ネズミ
5,鼠标,shǔbiāo,マウス
5,碎,suì,損傷
5,岁月,suìyuè,砕ける
5,随后,suíhòu,その後
5,随意,suíyì,気ままに
5,酸甜苦辣,suāntiánkǔlà,酸・甘・苦・辛
5,锁,suǒ,台風
5,所在,suǒzài,鍵
5,四周,sìzhōu,周囲
5,宿舍,sùshè,寮
5,私人,sīrén,個人
5,思维,sīwéi,思考
5,搜,sōu,探す
5,搜索,sōusuǒ,検索
5,洒,sǎ,散
5,散,sǎn,散文
5,散文,sǎnwén,殺
5,损害,sǔnhài,損失
5,损失,sǔnshī,場所
5,调节,tiáojié,調整
5,调解,tiáojiě,調停
5,天才,tiāncái,天才
5,天然气,tiānránqì,天然ガス
5,天文,tiānwén,天文
5,团长,tuánzhǎng,団長
5,推行,tuīxíng,推進
5,脱离,tuōlí,離脱
5,太空,tàikōng,宇宙、大気圏外
5,台风,táifēng,持ち上げる
5,逃,táo,逃げる
5,桃,táo,桃
5,桃花,táohuā,桃の花
5,逃跑,táopǎo,逃げ出す
5,桃树,táoshù,桃の木
5,逃走,táozǒu,逃走する
5,特定,tèdìng,特定の
5,特性,tèxìng,特性
5,特有,tèyǒu,特有
5,提倡,tíchàng,提唱
5,题材,tícái,題材
5,停留,tíngliú,滞在
5,提起,tíqǐ,話題に出す、持ち出す（また「提起する」の意も、例：提起诉讼＝訴訟を起こす）
5,提示,tíshì,ヒント
5,吐,tù,吐く
5,兔,tù,ウサギ
5,厅,tīng,ホール
5,通用,tōngyòng,汎用
5,偷,tōu,盗む
5,偷偷,tōutōu,こっそり
5,突破,tūpò,突破
5,体积,tǐjī,体積
5,体力,tǐlì,体力
5,吐,tǔ,吐く
5,土豆,tǔdòu,ジャガイモ
5,外界,wàijiè,外界
5,完了,wánle,終わった
5,胃,wèi,胃
5,慰问,wèiwèn,慰問
5,卫星,wèixīng,衛星
5,违法,wéifǎ,違法
5,违反,wéifǎn,違反
5,违规,wéiguī,規則違反
5,为难,wéinán,困惑
5,为期,wéiqī,期間
5,围绕,wéirào,巡る
5,唯一,wéiyī,唯一
5,为止,wéizhǐ,まで
5,为主,wéizhǔ,中心
5,文艺,wényì,文芸
5,握,wò,握る
5,卧室,wòshì,寝室
5,物价,wùjià,物価
5,误解,wùjiě,誤解
5,物业,wùyè,不動産
5,物质,wùzhì,物質
5,无奈,wúnài,仕方なく
5,无疑,wúyí,間違いなく
5,微博,wēibó,ウェイボー
5,温和,wēnhé,穏やか
5,委托,wěituō,委託
5,屋,wū,家
5,污水,wūshuǐ,汚水
5,舞,wǔ,踊り
5,吓,xià,怖がらせる
5,献,xiàn,捧げる
5,向导,xiàngdǎo,ガイド
5,向前,xiàngqián,前へ
5,相声,xiàngsheng,相声（シャンション）、漫才に似た中国の伝統的な掛け合い話芸
5,向上,xiàngshàng,上へ
5,象征,xiàngzhēng,象徴
5,线索,xiànsuǒ,手がかり
5,现状,xiànzhuàng,現状
5,闲,xián,暇
5,斜,xié,斜め
5,协议,xiéyì,協定
5,协议书,xiéyìshū,協定書
5,雄伟,xióngwěi,雄大
5,乡,xiāng,郷
5,香肠,xiāngcháng,ソーセージ
5,乡村,xiāngcūn,田舎
5,相等,xiāngděng,等しい
5,相应,xiāngyìng,相応の
5,先后,xiānhòu,前後
5,先前,xiānqián,以前
5,鲜艳,xiānyàn,鮮やか
5,消除,xiāochú,消去
5,消毒,xiāodú,消毒
5,消防,xiāofáng,消防
5,消费者,xiāofèizhě,消費者
5,消极,xiāojí,消極的
5,歇,xiē,休憩
5,修复,xiūfù,修復
5,修建,xiūjiàn,建設
5,休闲,xiūxián,レジャー
5,修养,xiūyǎng,修養
5,显,xiǎn,顕著
5,享受,xiǎngshòu,楽しむ
5,小偷儿,xiǎotōur,泥棒
5,学科,xuékē,学科
5,学位,xuéwèi,学位
5,学者,xuézhě,学者
5,选修,xuǎnxiū,選択科目
5,戏,xì,芝居
5,戏剧,xìjù,演劇
5,性能,xìngnéng,性能
5,信念,xìnniàn,信念
5,信箱,xìnxiāng,メールボックス
5,行驶,xíngshǐ,走行
5,形态,xíngtài,形態
5,寻求,xúnqiú,探求
5,询问,xúnwèn,問い合わせ
5,欣赏,xīnshǎng,鑑賞
5,心态,xīntài,心構え
5,心疼,xīnténg,胸が痛む
5,西装,xīzhuāng,スーツ
5,虚心,xūxīn,謙虚
5,喜剧,xǐjù,コメディ
5,许可,xǔkě,許可
5,怨,yuàn,怨み
5,愿,yuàn,願い
5,元旦,yuándàn,元旦
5,园林,yuánlín,庭園
5,原理,yuánlǐ,原理
5,原始,yuánshǐ,原始的な
5,原先,yuánxiān,もともと
5,原有,yuányǒu,元々
5,阅览室,yuèlǎnshì,閲覧室
5,月球,yuèqiú,月
5,约束,yuēshù,制約
5,远处,yuǎnchù,遠く
5,亚军,yàjūn,準優勝
5,研究所,yánjiūsuǒ,研究所、研究機関
5,严厉,yánlì,厳格
5,延伸,yánshēn,拡大
5,严肃,yánsù,厳粛
5,言语,yányǔ,言葉
5,摇头,yáotóu,首を振る
5,夜间,yèjiān,夜間
5,业务,yèwù,業務
5,一口气,yìkǒuqì,一気に
5,硬,yìng,硬い
5,硬件,yìngjiàn,ハードウェア
5,印刷,yìnshuā,印刷
5,意识,yìshí,意識
5,一身,yìshēn,全身
5,意味着,yìwèizhe,意味する
5,意志,yìzhì,意志
5,一辈子,yíbèizi,一生
5,一带,yídài,一帯
5,一旦,yídàn,ひとたび
5,一句话,yíjùhuà,一言
5,一路,yílù,ずっと
5,一向,yíxiàng,一貫して
5,一下子,yíxiàzi,一気に
5,用不着,yòngbùzháo,必要ない
5,用户,yònghù,ユーザー
5,由此,yóucǐ,それゆえ
5,犹豫,yóuyù,躊躇
5,游泳池,yóuyǒngchí,プール
5,预备,yùbèi,準備
5,运,yùn,運
5,运行,yùnxíng,運行
5,预期,yùqī,予想
5,押金,yājīn,保証金
5,鸭子,yāzi,アヒル
5,也好,yěhǎo,まあいいか
5,依法,yīfǎ,法に基づき
5,依旧,yījiù,相変わらず
5,依据,yījù,根拠
5,一流,yīliú,一流
5,应,yīng,～すべき
5,因而,yīn’ér,したがって
5,依照,yīzhào,従って
5,拥抱,yōngbào,抱擁
5,拥有,yōngyǒu,所有
5,优惠,yōuhuì,割引
5,优先,yōuxiān,優先
5,眼光,yǎnguāng,見識
5,咬,yǎo,噛む
5,乙,yǐ,乙（第二位）
5,以便,yǐbiàn,～するために
5,饮料,yǐnliào,飲み物
5,饮食,yǐnshí,飲食
5,以往,yǐwǎng,これまで
5,有毒,yǒudú,有毒
5,有害,yǒuhài,有害
5,有力,yǒulì,力強い
5,有利于,yǒulìyú,有益
5,羽毛球,yǔmáoqiú,バドミントン
5,羽绒服,yǔróngfú,ダウンジャケット
5,雨水,yǔshuǐ,雨水
5,撞,zhuàng,衝突
5,装饰,zhuāngshì,装飾
5,专辑,zhuānjí,アルバム
5,专利,zhuānlì,特許
5,转化,zhuǎnhuà,転換
5,转换,zhuǎnhuàn,変換
5,转让,zhuǎnràng,譲渡
5,转向,zhuǎnxiàng,転換
5,占领,zhànlǐng,占領
5,占有,zhànyǒu,占める、占有する（日本語の「占有」より日常的に広く使う）
5,振动,zhèndòng,振動
5,挣,zhèng,稼ぐ
5,正版,zhèngbǎn,正規版
5,正规,zhèngguī,正規の
5,挣钱,zhèngqián,お金を稼ぐ
5,正如,zhèngrú,まさに
5,证实,zhèngshí,立証
5,证书,zhèngshū,証明書
5,正义,zhèngyì,正義
5,震惊,zhènjīng,衝撃
5,至,zhì,至る、〜に至るまで（動詞・前置詞的用法）
5,制成,zhìchéng,製造
5,治理,zhìlǐ,統治
5,制约,zhìyuē,制約
5,治安,zhì’ān,治安
5,值班,zhíbān,当直
5,职能,zhínéng,職能
5,职位,zhíwèi,役職
5,职务,zhíwù,職務
5,直线,zhíxiàn,直線
